Immunopotentiators	B-M 0 18
activate	B-P 19 27
innate	I-P 28 34
immunity	I-P 35 43
directly	O 44 52
(for	O 53 57
example,	O 58 65
cytokines)	O 67 77
or	O 78 80
through	O 81 88
pattern-recognition	B-P 89 108
receptors	I-P 109 118
(PRRs,	O 119 124
such	O 126 130
as	O 131 133
those	O 134 139
for	O 140 143
bacterial	O 144 153
components).	O 154 165

The	O 167 170
Toll-like	B-P 171 180
receptors	I-P 181 190
(TLRs)	O 191 197
are	O 198 201
a	O 202 203
family	O 204 210
of	O 211 213
PRRs	B-P 214 218
that	O 219 223
are	O 224 227
an	O 228 230
important	O 231 240
link	O 241 245
between	O 246 253
innate	O 254 260
and	O 261 264
adaptive	O 265 273
immunity.	O 274 282

Some	O 284 288
studies	O 289 296
have	O 297 301
shown	O 302 307
that	O 308 312
TLR	B-M 313 316
ligands	I-M 317 324
have	O 325 329
adjuvant	O 330 338
activity	O 339 347
and	O 348 351
enhance	O 352 359
antigen-specific	O 360 376
antibody	O 377 385
and	O 386 389
cell-mediated	O 390 403
immune	O 404 410
responses,	O 411 420
especially	O 422 432
when	O 433 437
they	O 438 442
are	O 443 446
combined	O 447 455
with	O 456 460
delivery	O 461 469
systems	O 470 477
that	O 478 482
promote	O 483 490
their	O 491 496
uptake	O 497 503
and	O 504 507
delivery	O 508 516
into	O 517 521
antigen-presenting	B-M 522 540
cells	I-M 541 546
[22–24].	O 547 554

For	O 556 559
clinical	B-T 560 568
studies,	I-T 569 576
TLR9	B-M 578 582
is	O 583 585
generally	O 586 595
stimulated	B-P 596 606
with	O 607 611
synthetic	B-M 612 621
oligodeoxynucleotides	I-M 622 643
containing	O 644 654
one	O 655 658
or	O 659 661
more	O 662 666
unmethylated	B-M 667 679
CpG	I-M 680 683
dinucleotides.	I-M 684 697

In	O 699 701
humans,	O 702 708
CpG	B-M 710 713
has	O 714 717
been	O 718 722
used	O 723 727
as	O 728 730
an	O 731 733
adjuvant	B-M 734 742
for	O 743 746
infectious	B-T 747 757
disease	I-T 758 765
vaccination	I-T 766 777
[25,26]	O 778 785
and	O 786 789
in	O 790 792
the	O 793 796
development	I-T 797 808
of	I-T 809 811
cancer	I-T 812 818
therapy	I-T 819 826
[27].	O 827 831

In	O 833 835
a	O 836 837
mouse	B-P 838 843
model,	I-P 844 849
CpG	B-M 851 854
has	O 855 858
also	O 859 863
been	O 864 868
shown	O 869 874
to	O 875 877
induce	B-P 878 884
T	I-P 885 886
helper	I-P 887 893
1	I-P 894 895
(Th1)	O 896 901
immune	O 902 908
responses,	O 909 918
which	O 920 925
are	O 926 929
characterized	O 930 943
by	O 944 946
the	O 947 950
production	B-P 951 961
of	I-P 962 964
IFN-γ	I-P 965 970
and	I-P 971 974
the	I-P 975 978
generation	I-P 979 989
of	I-P 990 992
IgG2a	I-P 993 998
[28,29].	O 999 1006

Moreover,	O 1008 1016
a	O 1018 1019
previous	O 1020 1028
study	O 1029 1034
had	O 1035 1038
demonstrated	O 1039 1051
that	O 1052 1056
different	O 1057 1066
liposomes	B-M 1067 1076
with	O 1077 1081
CpG	O 1082 1085
ODN	O 1086 1089
significantly	O 1090 1103
increased	O 1104 1113
Th1-biased	B-M 1114 1124
cytokines	I-M 1125 1134
and	O 1135 1138
augmented	B-P 1139 1148
cell	I-P 1149 1153
mediated	I-P 1154 1162
immune	I-P 1163 1169
response	I-P 1170 1178
[30].	O 1179 1183

