This	O 0 4
paper	O 5 10
make	O 11 15
the	O 16 19
explained	O 20 29
variables	O 30 39
our	O 40 43
financial	B-P 44 53
stress	I-P 54 60
index	I-P 61 66
consist	O 67 74
of	O 75 77
the	O 78 81
synchronous	B-P 82 93
variables	I-P 94 103
financial	I-P 104 113
systemic	I-P 114 122
risk,	I-P 123 127
and	O 129 132
make	O 133 137
the	O 138 141
explanatory	O 142 153
variables	O 154 163
the	O 164 167
macroeconomic	B-P 168 181
variable,	I-P 182 190
currency	B-P 192 200
credit	I-P 201 207
variable,	I-P 208 216
asset	B-P 218 223
price	I-P 224 229
variable	I-P 230 238
and	O 239 242
the	O 243 246
macroeconomic	B-P 247 260
variable	I-P 261 269
of	I-P 270 272
correlative	I-P 273 284
economic	I-P 285 293
powers,	I-P 294 300
then	O 302 306
use	O 307 310
stepwise	B-P 311 319
regression	I-P 320 330
method	I-P 331 337
to	O 338 340
establish	B-T 341 350
the	I-T 351 354
financial	B-P 355 364
systemic	I-P 365 373
risk	I-P 374 378
best	I-P 379 383
predict	I-P 384 391
equation,	I-P 392 400
thus	O 402 406
set	B-T 407 410
up	I-T 411 413
the	I-T 414 417
reasonable	I-T 418 428
and	I-T 429 432
practical	I-T 433 442
financial	I-T 443 452
systemic	I-T 453 461
risk	I-T 462 466
early-warning	I-T 467 480
index	I-T 481 486
system;	I-T 487 493
besides,	O 495 502
use	O 504 507
the	O 508 511
best	B-P 512 516
prediction	I-P 517 527
equations	I-P 528 537
predicts	O 538 546
the	O 547 550
financial	O 551 560
systemic	O 561 569
risk	O 570 574
status	O 575 581
in	O 582 584
2011.	O 585 589

The	O 591 594
predicted	O 595 604
results	O 605 612
show	O 613 617
that	O 618 622
Chinese	O 623 630
financial	O 631 640
systemic	O 641 649
risk	O 650 654
is	O 655 657
on	O 658 660
the	O 661 664
rise	O 665 669
in	O 670 672
the	O 673 676
first	O 677 682
three	O 683 688
quarters	O 689 697
and	O 698 701
higher	O 702 708
than	O 709 713
the	O 714 717
peak	O 718 722
of	O 723 725
2008;	O 726 730
financial	O 732 741
systemic	O 742 750
risk	O 751 755
start	O 756 761
to	O 762 764
decline	O 765 772
since	O 773 778
the	O 779 782
fourth	O 783 789
quarter.	O 790 797

