The	O 0 3
remainder	O 4 13
of	O 14 16
our	O 17 20
discussion	O 21 31
proceeds	O 32 40
as	O 41 43
follows.	O 44 51

In	O 53 55
Section	O 56 63
2	O 64 65
we	O 66 68
briefly	O 69 76
describe	O 77 85
the	O 86 89
problem	B-T 90 97
of	I-T 98 100
cell	I-T 101 105
tracking	I-T 106 114
and	O 115 118
introduce	B-T 119 128
our	I-T 129 132
approach	I-T 133 141
to	I-T 142 144
cell	I-T 145 149
tracking,	I-T 150 158
which	O 160 165
may	O 166 169
be	O 170 172
regarded	O 173 181
as	O 182 184
fitting	O 185 192
a	O 193 194
mathematical	B-P 195 207
model	I-P 208 213
to	O 214 216
experimental	B-M 217 229
image	I-M 230 235
data	I-M 236 240
sets.	I-M 241 245

We	O 247 249
present	O 250 257
the	O 258 261
geometric	B-P 262 271
evolution	I-P 272 281
law	I-P 282 285
model	I-P 286 291
we	O 292 294
seek	O 295 299
to	O 300 302
fit,	O 303 306
which	O 308 313
is	O 314 316
a	O 317 318
simplification	O 319 333
of	O 334 336
recently	O 337 345
developed	O 346 355
models	O 356 362
in	O 363 365
the	O 366 369
literature	O 370 380
that	O 381 385
show	O 386 390
good	O 391 395
agreement	O 396 405
with	O 406 410
experiments	O 411 422
[8,10–12,4,13,9].	O 423 439

We	O 441 443
finish	O 444 450
Section	O 451 458
2	O 459 460
by	O 461 463
reformulating	O 464 477
our	B-P 478 481
model	I-P 482 487
into	O 488 492
the	O 493 496
phase	B-P 497 502
field	I-P 503 508
framework,	I-P 509 518
which	O 520 525
appears	O 526 533
more	O 534 538
suitable	O 539 547
for	O 548 551
the	O 552 555
problem	O 556 563
in	O 564 566
hand,	O 567 571
and	O 573 576
we	O 577 579
formulate	O 580 589
the	O 590 593
cell	B-T 594 598
tracking	I-T 599 607
problem	I-T 608 615
as	O 616 618
a	O 619 620
PDE	B-T 621 624
constrained	I-T 625 636
optimisation	I-T 637 649
problem.	I-T 650 657

In	O 659 661
Section	O 662 669
3	O 670 671
we	O 672 674
propose	O 675 682
an	O 683 685
algorithm	B-P 686 695
for	O 696 699
the	O 700 703
resolution	O 704 714
of	O 715 717
the	O 718 721
PDE	B-T 722 725
constrained	I-T 726 737
optimisation	I-T 738 750
problem	I-T 751 758
and	O 759 762
we	O 763 765
discuss	O 766 773
some	O 774 778
practical	O 779 788
aspects	O 789 796
related	O 797 804
to	O 805 807
the	O 808 811
implementation.	O 812 826

In	O 828 830
particular	O 831 841
we	O 842 844
note	O 845 849
that	O 850 854
the	O 855 858
theoretical	B-P 859 870
and	I-P 871 874
computational	I-P 875 888
framework	I-P 889 898
may	O 899 902
be	O 903 905
applied	O 906 913
directly	O 914 922
to	O 923 925
multi-cell	B-M 926 936
image	I-M 937 942
data	I-M 943 947
sets	I-M 948 952
and	O 953 956
raw	B-M 957 960
image	I-M 961 966
data	I-M 967 971
sets	I-M 972 976
(of	O 977 980
sufficient	O 981 991
quality)	O 992 1000
without	O 1001 1008
segmentation.	B-P 1009 1021

In	O 1023 1025
Section	O 1026 1033
4	O 1034 1035
we	O 1036 1038
present	O 1039 1046
some	O 1047 1051
numerical	O 1052 1061
examples	O 1062 1070
for	O 1071 1074
the	O 1075 1078
case	O 1079 1083
of	O 1084 1086
2d	O 1087 1089
single	O 1090 1096
and	O 1097 1100
multi-cell	O 1101 1111
image	B-M 1112 1117
data	I-M 1118 1122
sets.	I-M 1123 1127

Finally	O 1129 1136
in	O 1137 1139
Section	O 1140 1147
5	O 1148 1149
we	O 1150 1152
present	O 1153 1160
some	O 1161 1165
conclusions	O 1166 1177
of	O 1178 1180
our	O 1181 1184
study	O 1185 1190
and	O 1191 1194
discuss	O 1195 1202
future	O 1203 1209
extensions	O 1210 1220
and	O 1221 1224
applications	O 1225 1237
of	O 1238 1240
the	O 1241 1244
work.	O 1245 1249

