To	O 0 2
conclude,	O 3 11
the	O 13 16
electrochemical	B-T 17 32
reduction	I-T 33 42
of	I-T 43 45
uranium	B-M 46 53
dioxide	I-M 54 61
to	O 62 64
uranium	B-M 65 72
metal	I-M 73 78
has	O 79 82
been	O 83 87
studied	O 88 95
in	O 96 98
a	O 99 100
lithium	B-M 101 108
chloride–potassium	I-M 109 127
chloride	I-M 128 136
eutectic	I-M 137 145
molten	I-M 146 152
salt	I-M 153 157
at	O 158 160
450°C.	O 161 166

Both	O 168 172
electrochemical	B-P 173 188
and	O 189 192
synchrotron	B-P 193 204
X-ray	I-P 205 210
techniques	O 211 221
have	O 222 226
been	O 227 231
utilised	O 232 240
to	O 241 243
deduce	B-T 244 250
the	I-T 251 254
electrochemical	I-T 255 270
reduction	I-T 271 280
potential,	I-T 281 290
mechanism	I-T 292 301
and	I-T 302 305
reduction	I-T 306 315
pathway.	I-T 316 323

The	O 325 328
electrochemical	O 329 344
reduction	O 345 354
potential	O 355 364
of	O 365 367
the	O 368 371
UO2|U	B-M 372 377
couple	I-M 378 384
is	O 385 387
dependent	O 388 397
on	O 398 400
the	O 401 404
activity	O 405 413
of	O 414 416
oxide	B-M 417 422
ions	I-M 423 427
existing	O 428 436
within	O 437 443
the	O 444 447
melt.	B-M 448 452

The	O 454 457
electrochemical	B-P 458 473
reduction	I-P 474 483
of	O 484 486
uranium	B-M 487 494
dioxide	I-M 495 502
to	O 503 505
uranium	B-M 506 513
metal	I-M 514 519
seems	O 520 525
to	O 526 528
occur	O 529 534
in	O 535 537
a	O 538 539
single,	O 540 546
4-electron-step,	B-P 548 563
process;	O 565 572
indicated	O 574 583
by	O 584 586
a	O 587 588
single	O 589 595
reduction	O 596 605
peak	O 606 610
(C1)	O 611 615
in	O 616 618
the	O 619 622
cyclic	B-P 623 629
voltammograms	I-P 630 643
and	O 644 647
also	O 648 652
by	O 653 655
the	O 656 659
exclusion	O 660 669
of	O 670 672
any	O 673 676
other	O 677 682
phases	O 683 689
in	O 690 692
the	O 693 696
EDXD	B-P 697 701
data.	I-P 702 706

The	O 708 711
electrochemical	B-P 712 727
reduction	I-P 728 737
may	O 738 741
be	O 742 744
impeded	O 745 752
by	O 753 755
an	O 756 758
increase	O 759 767
in	O 768 770
oxo-acidity	O 771 782
of	O 783 785
the	O 786 789
molten	B-M 790 796
salt.	I-M 797 801

That	O 803 807
is,	O 808 810
O2−	B-M 812 815
ions	I-M 816 820
that	O 821 825
are	O 826 829
liberated	O 830 839
by	O 840 842
the	O 843 846
electroreduction	B-P 847 863
may	O 864 867
not	O 868 871
react	O 872 877
at	O 878 880
the	O 881 884
counter	B-M 885 892
electrode	I-M 893 902
and,	O 903 906
thus,	O 908 912
not	O 914 917
be	O 918 920
removed	O 921 928
from	O 929 933
the	O 934 937
molten	B-M 938 944
salt.	I-M 945 949

This	O 951 955
could	O 956 961
be	O 962 964
due	O 965 968
to	O 969 971
the	O 972 975
electrode	B-M 976 985
geometry	O 986 994
and/or	O 995 1001
the	O 1002 1005
inherent	O 1006 1014
microstructure	O 1015 1029
of	O 1030 1032
the	O 1033 1036
working	O 1037 1044
electrode:	B-M 1045 1054
a	O 1056 1057
high	O 1058 1062
tortuosity,	O 1063 1073
for	O 1075 1078
example,	O 1079 1086
would	O 1088 1093
impede	O 1094 1100
the	O 1101 1104
diffusion	O 1105 1114
of	O 1115 1117
O2−	B-M 1118 1121
ions	I-M 1122 1126
out	O 1127 1130
of	O 1131 1133
the	O 1134 1137
working	O 1138 1145
electrode.	B-M 1146 1155

This	O 1157 1161
could	O 1162 1167
then	O 1168 1172
cause	O 1173 1178
an	O 1179 1181
increase	O 1182 1190
in	O 1191 1193
the	O 1194 1197
activity	O 1198 1206
of	O 1207 1209
oxide	B-M 1210 1215
ions	I-M 1216 1220
existing	O 1221 1229
within	O 1230 1236
the	O 1237 1240
melt	B-M 1241 1245
and	O 1246 1249
hence	O 1250 1255
inhibit	O 1256 1263
the	O 1264 1267
electrochemical	B-P 1268 1283
reduction	I-P 1284 1293
–	O 1294 1295
exploration	B-T 1296 1307
of	I-T 1308 1310
the	I-T 1311 1314
microstructure	I-T 1315 1329
of	I-T 1330 1332
working	I-T 1333 1340
electrodes	I-T 1341 1351
will	O 1352 1356
be	O 1357 1359
the	O 1360 1363
focus	O 1364 1369
of	O 1370 1372
future	O 1373 1379
work.	O 1380 1384

