Note	O 0 4
that	O 5 9
the	O 10 13
quantitative	B-T 14 26
introduction	I-T 27 39
of	I-T 40 42
a	I-T 43 44
reactive	I-T 45 53
functionality	I-T 54 67
into	I-T 68 72
the	I-T 73 76
polymer	B-M 77 84
chain	I-M 85 90
end	I-M 91 94
can	O 95 98
be	O 99 101
easily	O 102 108
achieved	O 109 117
by	O 118 120
adopting	O 121 129
the	O 130 133
living	B-P 134 140
ROMP	I-P 141 145
technique	I-P 146 155
especially	O 156 166
using	O 167 172
the	O 173 176
Schrock	B-M 177 184
type	I-M 185 189
molybdenum	I-M 190 200
alkylidene	I-M 201 211
initiator	I-M 212 221
[7,12,21,61–65].	O 222 237

The	O 239 242
exclusive	O 243 252
preparation	B-P 253 264
of	I-P 265 267
end-functionalized	I-P 268 286
ring-opened	B-M 287 298
polymers	I-M 299 307
(realized	O 308 317
by	O 318 320
a	O 321 322
living	B-P 323 329
polymerization	I-P 330 344
with	I-P 345 349
quantitative	I-P 350 362
initiation)	O 363 374
can	O 375 378
be	O 379 381
applied	O 382 389
not	O 390 393
only	O 394 398
to	O 399 401
prepare	O 402 409
block	B-M 410 415
copolymers	I-M 416 426
(ABCs)	O 427 433
coupled	O 434 441
with	O 442 446
another	O 447 454
living	B-P 455 461
polymerization	I-P 462 476
techniques	I-P 477 487
[66],	O 488 492
but	O 494 497
also	O 498 502
for	O 503 506
preparation	B-P 507 518
of	I-P 519 521
macromonomers,	B-M 522 535
as	O 537 539
described	O 540 549
below.	O 550 555

In	O 557 559
contrast,	O 560 568
the	O 570 573
initiation	O 574 584
efficiency	O 585 595
is	O 596 598
not	O 599 602
always	O 603 609
perfect	O 610 617
as	O 618 620
seen	O 621 625
in	O 626 628
the	O 629 632
molybdenum	B-M 633 643
alkylidene	I-M 644 654
initiators,	I-M 655 665
because	O 667 674
dissociation	B-P 675 687
of	O 688 690
ligand	B-M 691 697
(PR3	O 698 702
etc.)	O 703 708

should	O 709 715
be	O 716 718
required	O 719 727
to	O 728 730
generate	B-P 731 739
the	I-P 740 743
catalytically	I-P 744 757
active	I-P 758 764
species	I-P 765 772
in	I-P 773 775
the	I-P 776 779
ROMP	B-M 780 784
with	O 785 789
the	O 790 793
ruthenium	B-M 794 803
carbene	I-M 804 811
catalysts	I-M 812 821
(Scheme	O 822 829
2)	O 830 832
[67–69].	O 833 840

An	O 842 844
equilibrium	O 845 856
between	O 857 864
coordination	B-P 865 877
and	O 878 881
dissociation	B-P 882 894
of	O 895 897
PR3	B-M 898 901
should	O 902 908
be	O 909 911
present	O 912 919
even	O 920 924
in	O 925 927
the	O 928 931
propagation	B-P 932 943
process,	I-P 944 951
and	O 953 956
replacement	O 957 968
of	O 969 971
halogen	B-M 972 979
with	O 980 984
the	O 985 988
other	O 989 994
anionic	B-M 995 1002
ligand	I-M 1003 1009
(and/or	O 1010 1017
replacement	O 1018 1029
of	O 1030 1032
PR3	B-M 1033 1036
with	O 1037 1041
the	O 1042 1045
other	O 1046 1051
neutral	B-M 1052 1059
donor	I-M 1060 1065
ligands/substrates)	O 1066 1085
can	O 1086 1089
also	O 1090 1094
be	O 1095 1097
considered	O 1098 1108
as	O 1109 1111
the	O 1112 1115
probable	O 1116 1124
side	O 1125 1129
reactions.	O 1130 1139

Importance	O 1141 1151
of	O 1152 1154
using	O 1155 1160
the	O 1161 1164
molybdenum	B-M 1165 1175
catalysts	I-M 1176 1185
should	O 1186 1192
be	O 1193 1195
thus	O 1196 1200
emphasized	O 1201 1211
for	O 1212 1215
their	O 1216 1221
precise	O 1222 1229
preparations,	O 1230 1242
although	O 1244 1252
the	O 1253 1256
initiators	O 1257 1267
are	O 1268 1271
highly	O 1272 1278
sensitive	O 1279 1288
to	O 1289 1291
moisture	O 1292 1300
and	O 1301 1304
both	O 1305 1309
monomers	B-M 1310 1318
and	O 1319 1322
solvent	B-M 1323 1330
have	O 1331 1335
to	O 1336 1338
be	O 1339 1341
thus	O 1342 1346
strictly	O 1347 1355
purified	O 1356 1364
to	O 1365 1367
avoid	O 1368 1373
the	O 1374 1377
catalyst	B-M 1378 1386
decomposition	B-P 1387 1400
(deactivation).	O 1401 1415

