One	O 0 3
of	O 4 6
the	O 7 10
most	O 11 15
important	O 16 25
outcomes	O 26 34
of	O 35 37
the	O 38 41
comparative	B-T 42 53
analysis	I-T 54 62
is	O 63 65
the	O 66 69
fact	O 70 74
that	O 75 79
in	O 80 82
all	O 83 86
tested	O 87 93
cases	O 94 99
the	O 100 103
use	O 104 107
of	O 108 110
FM	B-P 111 113
is	O 114 116
associated	O 117 127
with	O 128 132
a	O 133 134
dramatic	O 135 143
reduction	O 144 153
in	O 154 156
computational	O 157 170
time	O 171 175
when	O 176 180
compared	O 181 189
with	O 190 194
FE,	B-P 195 197
generally	O 199 208
being	O 209 214
in	O 215 217
the	O 218 221
order	O 222 227
of	O 228 230
seconds	O 231 238
for	O 239 242
FM	B-P 243 245
and	O 246 249
in	O 250 252
the	O 253 256
order	O 257 262
of	O 263 265
hours	O 266 271
for	O 272 275
FE.	B-P 276 278

Table	O 280 285
1	O 286 287
reports	O 288 295
the	O 296 299
timings	O 300 307
of	O 308 310
the	O 311 314
simulations	O 315 326
for	O 327 330
both	O 331 335
methods.	O 336 343

Free	O 345 349
expansion	O 350 359
is	O 360 362
the	O 363 366
fastest	O 367 374
case,	O 375 379
where	O 381 386
FM	B-P 387 389
reaches	O 390 397
the	O 398 401
load-free	O 402 411
configuration	O 412 425
in	O 426 428
just	O 429 433
2	O 434 435
s,	O 436 437
while	O 439 444
simulations	B-P 445 456
inside	O 457 463
the	O 464 467
vessels	B-M 468 475
with	O 476 480
the	O 481 484
diameter	O 485 493
of	O 494 496
around	O 497 503
30	O 504 506
mm	O 507 509
take	O 510 514
approximately	O 515 528
30	O 529 531
s.	O 532 533
Most	O 535 539
of	O 540 542
the	O 543 546
execution	O 547 556
time	O 557 561
of	O 562 564
the	O 565 568
FM	B-P 569 571
deployment	I-P 572 582
algorithm	I-P 583 592
is	O 593 595
dedicated	O 596 605
to	O 606 608
the	O 609 612
contact	O 613 620
check	O 621 626
and	O 627 630
calculations	O 631 643
of	O 644 646
the	O 647 650
implications	O 651 663
the	O 664 667
vessel	B-M 668 674
wall	I-M 675 679
has	O 680 683
on	O 684 686
the	O 687 690
stent	O 691 696
structure.	O 697 706

Interestingly,	O 708 721
in	O 723 725
both	O 726 730
methods,	O 731 738
the	O 740 743
highest	O 744 751
computational	O 752 765
time	O 766 770
(i.e.,	O 771 776
curved	B-M 778 784
vessels)	O 785 793
is	O 794 796
not	O 797 800
associated	O 801 811
with	O 812 816
the	O 817 820
most	O 821 825
complex	O 826 833
geometry	O 834 842
(i.e.,	O 843 848
patient-specific	O 850 866
case	O 867 871
of	O 872 874
aortic	O 875 881
dissection).	O 882 893

Another	O 895 902
fact	O 903 907
worth	O 908 913
mentioning	O 914 924
is	O 925 927
the	O 928 931
relation	O 932 940
of	O 941 943
the	O 944 947
computational	O 948 961
time	O 962 966
to	O 967 969
the	O 970 973
diameter	O 974 982
of	O 983 985
the	O 986 989
vessel	B-M 990 996
in	O 997 999
both	O 1000 1004
methods.	O 1005 1012

While	O 1014 1019
the	O 1020 1023
computational	O 1024 1037
time	O 1038 1042
of	O 1043 1045
FM	B-P 1046 1048
appeared	O 1049 1057
to	O 1058 1060
be	O 1061 1063
directly	O 1064 1072
related	O 1073 1080
to	O 1081 1083
the	O 1084 1087
diameter	O 1088 1096
of	O 1097 1099
the	O 1100 1103
vessel,	B-M 1104 1110
no	O 1112 1114
immediate	O 1115 1124
relation	O 1125 1133
was	O 1134 1137
found	O 1138 1143
for	O 1144 1147
the	O 1148 1151
FE	B-P 1152 1154
simulations.	I-P 1155 1166

Such	O 1168 1172
outcome	O 1173 1180
is	O 1181 1183
probably	O 1184 1192
related	O 1193 1200
to	O 1201 1203
the	O 1204 1207
simplified	B-P 1208 1218
contact	I-P 1219 1226
model	I-P 1227 1232
used	O 1233 1237
by	O 1238 1240
FM,	B-P 1241 1243
which	O 1245 1250
makes	O 1251 1256
the	O 1257 1260
stent-graft	B-P 1261 1272
expansion	I-P 1273 1282
terminate	O 1283 1292
once	O 1293 1297
the	O 1298 1301
nodes	B-M 1302 1307
come	O 1308 1312
in	O 1313 1315
contact	O 1316 1323
with	O 1324 1328
the	O 1329 1332
vessel	B-M 1333 1339
wall.	I-M 1340 1344

On	O 1346 1348
the	O 1349 1352
contrary,	O 1353 1361
it	O 1363 1365
is	O 1366 1368
well	O 1369 1373
known	O 1374 1379
that	O 1380 1384
the	O 1385 1388
contact	B-P 1389 1396
algorithm	I-P 1397 1406
used	O 1407 1411
in	O 1412 1414
the	O 1415 1418
FE	B-P 1419 1421
analyses	I-P 1422 1430
increases	O 1431 1440
the	O 1441 1444
computational	O 1445 1458
cost	O 1459 1463
of	O 1464 1466
the	O 1467 1470
simulations.	B-P 1471 1482

