Alternatively	O 0 13
to	O 14 16
H-atom	B-P 17 23
photodetachment	I-P 24 39
from	O 40 44
the	O 45 48
intermediate	B-M 49 61
radicals,	I-M 62 70
the	O 72 75
latter	O 76 82
may	O 83 86
serve	O 87 92
as	O 93 95
reducing	B-M 96 104
agents.	I-M 105 111

Evidence	O 113 121
has	O 122 125
been	O 126 130
reported	O 131 139
in	O 140 142
recent	O 143 149
years	O 150 155
that	O 156 160
the	O 161 164
pyridinyl	B-M 165 174
radical	I-M 175 182
(PyH)	O 183 188
is	O 189 191
an	O 192 194
exceptionally	O 195 208
strong	O 209 215
reducing	B-M 216 224
agent	I-M 225 230
which	O 231 236
can	O 237 240
even	O 241 245
reduce	O 246 252
CO2	B-M 253 256
to	O 257 259
formaldehyde,	B-M 260 272
formic	B-M 274 280
acid	I-M 281 285
or	O 286 288
methanol	B-M 289 297
with	O 298 302
suitable	O 303 311
catalyzers	B-M 312 322
[27–29],	O 323 330
albeit	O 332 338
the	O 339 342
mechanisms	O 343 353
of	O 354 356
these	O 357 362
reactions	O 363 372
are	O 373 376
currently	O 377 386
poorly	O 387 393
understood	O 394 404
[30–32].	O 405 412

The	O 414 417
theoretically	O 418 431
predicted	O 432 441
dissociation	O 442 454
thresholds	O 455 465
of	O 466 468
the	O 469 472
AcH,	B-M 473 476
AOH	I-M 478 481
and	I-M 482 485
BAH	I-M 486 489
radicals	I-M 490 498
are	O 499 502
about	O 503 508
2.7eV,	O 509 514
2.5eV	O 516 521
and	O 522 525
3.0eV,	O 526 531
respectively	O 533 545
(see	O 546 550
Fig.	O 551 554
4),	O 556 558
while	O 560 565
the	O 566 569
predicted	O 570 579
dissociation	O 580 592
threshold	O 593 602
of	O 603 605
the	O 606 609
pyridinyl	B-M 610 619
radical	I-M 620 627
is	O 628 630
much	O 631 635
lower,	O 636 641
about	O 643 648
1.7eV	O 649 654
[1].	O 655 658

Pyridinyl	B-M 660 669
is	O 670 672
thus	O 673 677
a	O 678 679
significantly	O 680 693
stronger	O 694 702
reductant	B-M 703 712
than	O 713 717
acridinyl	B-M 718 727
and	O 728 731
related	O 732 739
radicals.	B-M 740 748

It	O 750 752
is	O 753 755
therefore	O 756 765
not	O 766 769
expected	O 770 778
that	O 779 783
the	O 784 787
latter	O 788 794
will	O 795 799
be	O 800 802
able	O 803 807
to	O 808 810
reduce	B-T 811 817
carbon	B-M 818 824
dioxide	I-M 825 832
in	I-T 833 835
dark	I-T 836 840
reactions.	I-T 841 850

