Note	O 0 4
that	O 5 9
the	O 10 13
presented	O 14 23
architecture	O 24 36
works	O 37 42
at	O 43 45
the	O 46 49
frame	O 50 55
level,	O 56 61
meaning	O 63 70
that	O 71 75
each	O 76 80
single	O 81 87
frame	O 88 93
(plus	O 94 99
its	O 100 103
corresponding	O 104 117
context)	O 118 126
is	O 127 129
fed-forward	O 130 141
through	O 142 149
the	O 150 153
network,	O 154 161
obtaining	O 163 172
a	O 173 174
class	O 175 180
posterior	O 181 190
probability	O 191 202
for	O 203 206
all	O 207 210
of	O 211 213
the	O 214 217
target	B-M 218 224
languages.	I-M 225 234

This	O 236 240
fact	O 241 245
makes	O 246 251
the	O 252 255
DNNs	B-P 256 260
particularly	O 261 273
suitable	O 274 282
for	O 283 286
real-time	O 287 296
applications	O 297 309
because,	O 310 317
unlike	O 319 325
other	B-P 326 331
approaches	I-P 332 342
(i.e.	O 343 347
i-vectors),	O 349 359
we	O 361 363
can	O 364 367
potentially	O 368 379
make	O 380 384
a	O 385 386
decision	O 387 395
about	O 396 401
the	O 402 405
language	O 406 414
at	O 415 417
each	O 418 422
new	O 423 426
frame.	O 427 432

Indeed,	O 434 440
at	O 442 444
each	O 445 449
frame,	O 450 455
we	O 457 459
can	O 460 463
combine	B-P 464 471
the	I-P 472 475
evidence	I-P 476 484
from	I-P 485 489
past	I-P 490 494
frames	I-P 495 501
to	O 502 504
get	O 505 508
a	O 509 510
single	O 511 517
similarity	O 518 528
score	O 529 534
between	O 535 542
the	O 543 546
test	O 547 551
utterance	O 552 561
and	O 562 565
the	O 566 569
targetlanguages.	O 570 585

A	O 587 588
simple	O 589 595
way	O 596 599
of	O 600 602
doing	O 603 608
this	O 609 613
combination	O 614 625
is	O 626 628
to	O 629 631
assume	B-P 632 638
that	I-P 639 643
frames	I-P 644 650
are	I-P 651 654
independent	I-P 655 666
and	I-P 667 670
multiply	I-P 671 679
the	I-P 680 683
posterior	I-P 684 693
estimates	I-P 694 703
of	I-P 704 706
the	I-P 707 710
last	I-P 711 715
layer.	I-P 716 721

The	O 723 726
score	O 727 732
sl	O 733 735
for	O 736 739
language	O 740 748
l	O 749 750
of	O 751 753
a	O 754 755
given	O 756 761
test	B-M 762 766
utterance	I-M 767 776
is	O 777 779
computed	O 780 788
by	O 789 791
multiplying	B-P 792 803
the	I-P 804 807
output	I-P 808 814
probabilities	I-P 815 828
pl	I-P 829 831
obtained	I-P 832 840
for	I-P 841 844
all	I-P 845 848
of	I-P 849 851
its	I-P 852 855
frames;	I-P 856 862
or	O 864 866
equivalently,	O 867 879
accumulating	B-P 881 893
the	I-P 894 897
logs	I-P 898 902
as:(6)sl=1N∑t=1Nlogp(Ll|xt​,	I-P 903 930
θ)where	O 932 939
p(Ll|xt​,	O 940 948
θ)	O 950 952
represents	O 953 963
the	O 964 967
class	O 968 973
probability	O 974 985
output	O 986 992
for	O 993 996
the	O 997 1000
language	O 1001 1009
l	O 1010 1011
corresponding	O 1012 1025
to	O 1026 1028
the	O 1029 1032
input	O 1033 1038
example	O 1039 1046
at	O 1047 1049
time	O 1050 1054
t,	O 1055 1056
xt	O 1058 1060
by	O 1061 1063
using	O 1064 1069
the	O 1070 1073
DNN	B-P 1074 1077
defined	O 1078 1085
by	O 1086 1088
parameters	O 1089 1099
θ.	O 1100 1101

