In	O 0 2
this	O 3 7
paper,	O 8 13
coordination	B-T 15 27
problem	I-T 28 35
of	I-T 36 38
agricultural	I-T 39 51
products	I-T 52 60
supply	I-T 61 67
chain	I-T 68 73
with	O 74 78
stochastic	B-P 79 89
yield	I-P 90 95
is	O 96 98
studied	O 99 106
based	O 107 112
on	O 113 115
prices	B-P 116 122
compensation	I-P 123 135
strategy.	I-P 136 144

The	O 146 149
agricultural	B-P 150 162
producing	I-P 163 172
is	O 173 175
influenced	O 176 186
by	O 187 189
the	O 190 193
natural	O 194 201
conditions,	O 202 212
and	O 214 217
the	O 218 221
yield	B-P 222 227
is	O 228 230
uncertain.	O 231 240

While	O 242 247
agricultural	B-M 248 260
products	I-M 261 269
is	O 270 272
rigid	O 273 278
demand	O 279 285
goods,	O 286 291
the	O 293 296
fluctuations	B-P 297 309
of	I-P 310 312
yield	I-P 313 318
cause	O 319 324
greater	O 325 332
volatility	O 333 343
of	O 344 346
prices.	O 347 353

The	O 355 358
two-	B-P 359 363
echelon	I-P 364 371
supply	I-P 372 378
chain	I-P 379 384
with	O 385 389
one	O 390 393
supplier	O 394 402
and	O 403 406
one	O 407 410
retailor	O 411 419
is	O 420 422
studied,	O 423 430
and	O 432 435
the	O 436 439
mathematical	B-P 440 452
model	I-P 453 458
is	I-T 459 461
constructed.	I-T 462 473

The	O 475 478
model	O 479 484
showed	O 485 491
that	O 492 496
prices	B-P 497 503
compensation	I-P 504 516
strategy	I-P 517 525
is	O 526 528
Pareto	O 529 535
improvement	O 536 547
for	O 548 551
agricultural	B-M 552 564
products	I-M 565 573
supply	I-P 574 580
chain	I-P 581 586
with	O 587 591
stochastic	B-P 592 602
yield,	I-P 603 608
and	O 610 613
it	O 614 616
also	O 617 621
incentive	O 622 631
agricultural	B-M 632 644
products	I-M 645 653
supplier	O 654 662
to	O 663 665
rise	O 666 670
the	O 671 674
production	B-P 675 685
plan	I-P 686 690
and	O 691 694
balance	O 695 702
the	O 703 706
profit	B-P 707 713
allocation	I-P 714 724
of	O 725 727
supply	B-P 728 734
chain.	I-P 735 740

