Some	O 0 4
nonlinear	B-P 5 14
wave	I-P 15 19
equations	I-P 20 29
are	O 30 33
more	O 34 38
difficult	O 39 48
to	O 49 51
investigate	B-T 52 63
mathematically,	I-T 64 78
as	O 80 82
no	O 83 85
general	O 86 93
analytical	B-P 94 104
method	I-P 105 111
for	O 112 115
their	O 116 121
solutions	O 122 131
exists.	O 132 138

The	O 140 143
Exponential	B-P 144 155
Time	I-P 156 160
Differencing	I-P 161 173
(ETD)	O 174 179
technique	O 180 189
requires	O 190 198
minimum	B-M 199 206
stages	I-M 207 213
to	O 214 216
obtain	O 217 223
the	O 224 227
requiredaccurateness,	O 228 248
which	O 250 255
suggests	O 256 264
an	O 265 267
efficient	O 268 277
technique	O 278 287
relatingto	O 288 298
computational	B-P 299 312
duration	I-P 313 321
thatensures	O 322 333
remarkable	O 334 344
stability	B-P 345 354
characteristicsupon	I-P 355 374
resolving	B-T 375 384
nonlinear	I-T 385 394
wave	I-T 395 399
equations.	I-T 400 409

This	O 411 415
article	O 416 423
solves	B-T 424 430
the	I-T 431 434
diagonal	I-T 435 443
example	I-T 444 451
of	I-T 452 454
Kawahara	I-T 455 463
equation	I-T 464 472
via	O 473 476
the	O 477 480
ETD	B-P 481 484
Runge-Kutta	I-P 485 496
4	I-P 497 498
technique.	I-P 499 508

Implementation	O 510 524
of	O 525 527
this	O 528 532
technique	O 533 542
is	O 543 545
proposed	O 546 554
by	O 555 557
short	O 558 563
Matlab	B-M 564 570
programs.	I-M 571 579

