Metal–intermetallic	B-M 0 19
laminated	I-M 20 29
(MIL)	O 30 35
composites	O 36 46
are	O 47 50
fabricated	B-P 51 61
upon	I-P 62 66
reaction	B-P 67 75
sintering	I-P 76 85
of	O 86 88
titanium	B-M 89 97
and	I-M 98 101
aluminum	I-M 102 110
foils	I-M 111 116
of	O 117 119
various	O 120 127
thicknesses.	O 128 139

The	O 141 144
intermetallic	B-P 145 158
phase	I-P 159 164
of	O 165 167
Al3Ti	B-M 168 173
forming	I-P 174 181
during	O 182 188
the	O 189 192
above	O 193 198
processing	B-P 199 209
gives	O 210 215
high	O 216 220
hardness	O 221 229
and	O 230 233
stiffness	O 234 243
to	O 244 246
the	O 247 250
composite,	B-M 251 260
while	O 262 267
unreacted	B-M 268 277
titanium	I-M 278 286
provides	O 287 295
the	O 296 299
necessary	O 300 309
high	O 310 314
strength	O 315 323
and	O 324 327
ductility.	O 328 337

Some	O 339 343
results	O 344 351
of	O 352 354
studies	B-P 355 362
of	I-P 363 365
microstructure	I-P 366 380
and	O 381 384
some	O 385 389
mechanical	O 390 400
properties	O 401 411
of	O 412 414
layered	B-M 415 422
composites	I-M 423 433
are	O 434 437
presented	B-T 438 447
on	I-T 448 450
the	I-T 451 454
example	I-T 455 462
of	I-T 463 465
Ti-Al	B-P 466 471
system.	I-P 472 478

Static	B-T 480 486
and	I-T 487 490
dynamic	I-T 491 498
tests	I-T 499 504
results	I-T 505 512
are	I-T 513 516
discussed	I-T 517 526
for	O 527 530
the	O 531 534
case	O 535 539
when	O 540 544
the	O 545 548
intermetallic	B-P 549 562
reaction	I-P 563 571
was	O 572 575
interrupted	B-P 576 587
in	O 588 590
the	O 591 594
course	O 595 601
of	O 602 604
intermetallic	B-P 605 618
sintering	I-P 619 628
and	O 629 632
also	O 633 637
for	O 638 641
the	O 642 645
case	O 646 650
when	O 651 655
it	O 656 658
was	O 659 662
completed.	O 663 672

