Based	O 0 5
on	O 6 8
the	O 9 12
theoretical	B-T 13 24
analysis,	I-T 25 33
the	O 35 38
value	B-P 39 44
of	I-P 45 47
the	I-P 48 51
measuring	I-P 52 61
resistor,	I-P 62 70
Rm,	B-P 72 74
has	O 76 79
no	O 80 82
effect	O 83 89
on	O 90 92
the	O 93 96
corrosion	B-P 97 106
process	I-P 107 114
and	O 115 118
on	O 119 121
the	O 122 125
estimated	O 126 135
value	B-P 136 141
of	I-P 142 144
noise	I-P 145 150
resistance.	I-P 151 161

In	O 163 165
order	O 166 171
to	O 172 174
validate	B-T 175 183
this	I-T 184 188
conclusion,	I-T 189 199
the	O 201 204
experiment	O 205 215
of	O 216 218
Fig.	O 219 222
9	O 224 225
was	O 226 229
performed.	O 230 239

Specifically,	O 241 253
a	O 255 256
pair	B-M 257 261
of	I-M 262 264
nominally	I-M 265 274
identical	I-M 275 284
specimens	I-M 285 294
was	O 295 298
initially	O 299 308
coupled	O 309 316
by	O 317 319
a	O 320 321
4.7kΩ	B-M 322 327
resistor	I-M 328 336
and	O 337 340
their	O 341 346
potential	O 347 356
with	O 357 361
respect	O 362 369
to	O 370 372
a	O 373 374
saturated	B-M 375 384
calomel	I-M 385 392
electrode	I-M 393 402
was	O 403 406
recorded	O 407 415
by	O 416 418
using	O 419 424
a	O 425 426
NI-USB	B-M 427 433
6009	I-M 434 438
analog-to-digital	I-M 439 456
converter.	I-M 457 466

The	O 468 471
electrochemical	B-P 472 487
noise	I-P 488 493
signal	I-P 494 500
was	O 501 504
recorded	O 505 513
using	O 514 519
in-house	B-M 520 528
developed	I-M 529 538
software,	I-M 539 547
acquiring	O 549 558
at	O 559 561
1023Hz	O 562 568
segments	O 569 577
of	O 578 580
1000	O 581 585
points	O 586 592
at	O 593 595
each	O 596 600
iteration.	O 601 610

Between	O 612 619
iterations,	O 620 630
the	O 632 635
1000	O 636 640
values	O 641 647
acquired	O 648 656
were	O 657 661
averaged	O 662 670
to	O 671 673
obtain	B-T 674 680
a	I-T 681 682
single	I-T 683 689
value	I-T 690 695
of	I-T 696 698
potential,	I-T 699 708
subsequently	O 710 722
saved	O 723 728
to	O 729 731
the	O 732 735
file	O 736 740
used	O 741 745
for	O 746 749
later	O 750 755
processing.	O 756 766

The	O 768 771
final	O 772 777
dataset	B-M 778 785
comprised	O 786 795
potential	O 796 805
values	O 806 812
spaced	O 813 819
1±0.05s	O 820 827
in	O 828 830
time.	O 831 835

Under	O 837 842
the	O 843 846
assumption	O 847 857
that	O 858 862
the	O 863 866
noise	O 867 872
present	O 873 880
above	O 881 886
1023Hz	O 887 893
is	O 894 896
negligible	O 897 907
compared	O 908 916
with	O 917 921
the	O 922 925
noise	O 926 931
present	O 932 939
below	O 940 945
0.5Hz,	O 946 951
this	O 953 957
procedure	O 958 967
enables	O 968 975
an	O 976 978
accurate	B-T 979 987
recording	I-T 988 997
of	I-T 998 1000
the	I-T 1001 1004
potential	I-T 1005 1014
noise	I-T 1015 1020
in	I-T 1021 1023
the	I-T 1024 1027
frequencies	I-T 1028 1039
of	I-T 1040 1042
interest,	I-T 1043 1051
avoiding	O 1053 1061
aliasing	O 1062 1070
of	O 1071 1073
frequencies	O 1074 1085
between	O 1086 1093
0.5	O 1094 1097
and	O 1098 1101
1023Hz	O 1102 1108
and	O 1109 1112
minimizing	O 1113 1123
the	O 1124 1127
50Hz	O 1128 1132
interference	O 1133 1145
from	O 1146 1150
the	O 1151 1154
mains	O 1155 1160
supply.	O 1161 1167

