Following	O 0 9
fission,	B-P 10 17
noble	B-M 19 24
gas	I-M 25 28
atoms	I-M 29 34
will	O 35 39
be	O 40 42
distributed	O 43 54
in	O 55 57
the	O 58 61
fuel	B-P 62 66
matrix	I-P 67 73
initially	O 74 83
accommodated	O 84 96
at	O 97 99
point	B-P 100 105
defects	I-P 106 113
trap	I-P 114 118
sites,	I-P 119 124
generally	O 126 135
thought	O 136 143
to	O 144 146
be	O 147 149
Schottky	B-P 150 158
trivacancy	I-P 159 169
defects	I-P 170 177
[4,5,31].	O 178 186

Diffusion	B-P 188 197
to	O 198 200
either	O 201 207
bubbles	B-M 208 215
or	O 216 218
grain	B-M 219 224
boundaries	I-M 225 235
is	O 236 238
then	O 239 243
facilitated	O 244 255
by	O 256 258
associating	O 259 270
a	O 271 272
further	O 273 280
uranium	B-M 281 288
vacancy	O 289 296
defect	O 297 303
for	O 304 307
the	O 308 311
gas	B-M 312 315
atom	I-M 316 320
to	O 321 323
‘hop’	B-P 324 329
into,	I-P 330 334
with	O 336 340
the	O 341 344
original	O 345 353
vacancy	O 354 361
then	O 362 366
able	O 367 371
to	O 372 374
loop	B-P 375 379
around	I-P 380 386
to	O 387 389
ensure	O 390 396
continued	O 397 406
diffusion.	B-P 407 416

The	O 418 421
rate	O 422 426
determining	O 427 438
step	O 439 443
in	O 444 446
the	O 447 450
process	O 451 458
is	O 459 461
not	O 462 465
the	O 466 469
migration	B-P 470 479
of	O 480 482
the	O 483 486
Xe	B-M 487 489
itself	O 490 496
but	O 497 500
rather	O 501 507
the	O 508 511
rearrangement	B-P 512 525
of	O 526 528
the	O 529 532
VU	B-P 533 535
defect	I-P 536 542
to	O 543 545
facilitate	O 546 556
net	O 557 560
Xe	B-P 561 563
diffusion	I-P 564 573
[6–8].	O 574 579

Activation	B-P 581 591
energies	O 592 600
for	O 601 604
the	O 605 608
overall	O 609 616
process	O 617 624
depend	O 625 631
on	O 632 634
the	O 635 638
availability	O 639 651
of	O 652 654
the	O 655 658
defect	B-P 659 665
trap	I-P 666 670
sites,	I-P 671 676
which	O 678 683
in	O 684 686
turn	O 687 691
depends	O 692 699
on	O 700 702
the	O 703 706
crystal	B-M 707 714
stoichiometry.	I-P 715 728

For	O 730 733
Xe	B-P 734 736
diffusion	I-P 737 746
in	O 747 749
UO2−x,	B-M 750 755
UO2	B-M 757 760
and	O 761 764
UO2+x	B-M 765 770
the	O 771 774
activation	O 775 785
energies	O 786 794
calculated	O 795 805
using	O 806 811
DFT	B-P 812 815
are	O 816 819
7.04–12.92	O 820 830
eV,	O 831 833
4.15–7.88	O 835 844
eV	O 845 847
and	O 848 851
1.38–4.07	O 852 861
eV	O 862 864
with	O 865 869
the	O 870 873
ranges	O 874 880
reflecting	O 881 891
the	O 892 895
way	O 896 899
the	O 900 903
calculations	O 904 916
were	O 917 921
performed	O 922 931
depending	O 932 941
on	O 942 944
the	O 945 948
charge	B-P 949 955
states	O 956 962
of	O 963 965
the	O 966 969
defects	O 970 977
involved	O 978 986
and	O 987 990
the	O 991 994
presence	O 995 1003
of	O 1004 1006
a	O 1007 1008
Jahn–Teller	B-P 1009 1020
distortion	I-P 1021 1031
[7].	O 1032 1035

Activation	O 1037 1047
energies	O 1048 1056
calculated	O 1057 1067
using	O 1068 1073
empirical	B-P 1074 1083
pair	I-P 1084 1088
potentials	I-P 1089 1099
can	O 1100 1103
vary	O 1104 1108
strongly	O 1109 1117
depending	O 1118 1127
on	O 1128 1130
the	O 1131 1134
choice	O 1135 1141
of	O 1142 1144
potential.	B-P 1145 1154

Govers	O 1156 1162
et	O 1163 1165
al.	O 1166 1168
examined	O 1170 1178
three	O 1179 1184
different	O 1185 1194
potentials	B-P 1195 1205
for	O 1206 1209
UO2	B-M 1210 1213
(those	O 1214 1220
of	O 1221 1223
Basak	O 1224 1229
[9],	O 1230 1233
Jackson	O 1235 1242
[10]	O 1243 1247
and	O 1248 1251
Morelon	O 1252 1259
[11])	O 1260 1265
coupled	O 1266 1273
with	O 1274 1278
different	O 1279 1288
parameterisations	O 1289 1306
for	O 1307 1310
the	O 1311 1314
U–Xe	B-M 1315 1319
and	O 1320 1323
O–Xe	B-M 1324 1328
interactions	O 1329 1341
from	O 1342 1346
Geng	O 1347 1351
[12]	O 1352 1356
and	O 1357 1360
Nicoll	O 1361 1367
[13]	O 1368 1372
and	O 1373 1376
recommend	O 1377 1386
values	O 1387 1393
of	O 1394 1396
6.5	O 1397 1400
eV,	O 1401 1403
4.5	O 1405 1408
eV	O 1409 1411
and	O 1412 1415
2.4	O 1416 1419
eV	O 1420 1422
[6]	O 1423 1426
for	O 1427 1430
the	O 1431 1434
different	O 1435 1444
stoichiometric	O 1445 1459
regimes	O 1460 1467
in	O 1468 1470
very	O 1471 1475
good	O 1476 1480
agreement	O 1481 1490
with	O 1491 1495
the	O 1496 1499
experimental	O 1500 1512
values	O 1513 1519
of	O 1520 1522
6.0	O 1523 1526
eV,	O 1527 1529
3.9	O 1531 1534
eV	O 1535 1537
and	O 1538 1541
1.7	O 1542 1545
eV	O 1546 1548
respectively	O 1549 1561
[14].	O 1562 1566

