Assuming	O 0 8
a	O 9 10
constant	O 11 19
cell	B-P 20 24
electrical	I-P 25 35
conversion	I-P 36 46
efficiency	O 47 57
of	O 58 60
15%,	O 61 64
a	O 66 67
constant	O 68 76
fraction	O 77 85
of	O 86 88
the	O 89 92
incident	O 93 101
solar	B-P 102 107
radiation	I-P 108 117
would	O 118 123
be	O 124 126
dissipated	O 127 137
by	O 138 140
the	O 141 144
solar	O 145 150
cell	O 151 155
for	O 156 159
each	O 160 164
solar	B-P 165 170
radiation	I-P 171 180
intensity	O 181 190
level.	O 191 196

From	O 198 202
Table	O 203 208
2,	O 209 210
it	O 212 214
can	O 215 218
be	O 219 221
seen	O 222 226
that	O 227 231
for	O 232 235
the	O 236 239
worst	O 240 245
scenario	O 246 254
when	O 255 259
the	O 260 263
ambient	O 264 271
temperature	O 272 283
was	O 284 287
50°C	O 288 292
with	O 293 297
natural	B-P 298 305
convection	I-P 306 316
only,	O 317 321
the	O 323 326
predicted	B-T 327 336
cell	I-T 337 341
electrical	I-T 342 352
conversion	I-T 353 363
efficiency	I-T 364 374
would	O 375 380
have	O 381 385
reduced	O 386 393
to	O 394 396
approximately	O 397 410
8%	O 411 413
rather	O 414 420
than	O 421 425
the	O 426 429
15%	O 430 433
assumed.	O 434 441

The	O 443 446
energy	O 447 453
dissipated	O 454 464
as	O 465 467
heat	O 468 472
from	O 473 477
the	O 478 481
cell	O 482 486
would	O 487 492
thus	O 493 497
be	O 498 500
7%	O 501 503
higher.	O 504 510

To	O 512 514
correct	O 515 522
for	O 523 526
this	O 527 531
effect	O 532 538
the	O 539 542
apparent	B-P 543 551
insolation	I-P 552 562
level	I-P 563 568
should	O 569 575
be	O 576 578
modified	O 579 587
using	O 588 593
the	O 594 597
following	O 598 607
formula:(3)Iact=I×0.850.85+dηwhere	O 608 642
Iact	O 643 647
is	O 648 650
the	O 651 654
actual	O 655 661
incident	O 662 670
solar	B-P 671 676
radiation	I-P 677 686
intensity,	O 687 696
dη	O 698 700
is	O 701 703
solar	O 704 709
cell	O 710 714
efficiency	O 715 725
difference	O 726 736
between	O 737 744
the	O 745 748
initially	O 749 758
assumed	O 759 766
15%	O 767 770
and	O 771 774
final	O 775 780
calculated	O 781 791
cell	O 792 796
efficiency	O 797 807
based	O 808 813
on	O 814 816
measured	O 817 825
cell	O 826 830
temperature.	O 831 842

