Two	O 0 3
methods	O 4 11
of	O 12 14
formulating	B-T 15 26
anionic	I-T 27 34
nanocomplexes	I-T 35 48
were	O 49 53
evaluated.	O 54 63

In	O 65 67
both,	O 68 72
nanocomplexes	B-M 74 87
were	O 88 92
prepared	B-P 93 101
in	O 102 104
water	O 105 110
at	O 111 113
a	O 114 115
range	O 116 121
of	O 122 124
molar	O 125 130
charge	O 131 137
ratios	O 138 144
of	O 145 147
L	O 148 149
to	O 150 152
D	O 153 154
while	O 155 160
the	O 161 164
peptide	O 165 172
P	O 173 174
to	O 175 177
D	O 178 179
molar	O 180 185
charge	O 186 192
ratio	O 193 198
was	O 199 202
maintained	O 203 213
constant	O 214 222
at	O 223 225
3:1.	O 226 229

Method	O 231 237
1	O 238 239
(L:D:P):	O 240 247
DNA	B-M 249 252
was	O 253 256
first	O 257 262
added	B-P 263 268
to	O 269 271
an	B-M 272 274
anionic	I-M 275 282
liposome	I-M 283 291
(LA,	O 292 295
LAP1	I-M 297 301
or	I-M 302 304
LAP2)	O 305 310
and	O 311 314
incubated	B-P 315 324
for	O 325 328
15min	O 329 334
at	O 335 337
room	O 338 342
temperature	O 343 354
and	O 355 358
then	O 359 363
the	O 364 367
peptide	O 368 375
was	O 376 379
added	B-P 380 385
with	O 386 390
rapid	O 391 396
mixing	O 397 403
and	O 404 407
incubated	B-P 408 417
at	O 418 420
room	O 421 425
temperature	O 426 437
for	O 438 441
a	O 442 443
further	O 444 451
20min;	O 452 457
Method	O 459 465
2	O 466 467
(P:D:L):	O 468 475
the	O 477 480
peptide	B-M 481 488
was	O 489 492
added	B-P 493 498
to	O 499 501
the	O 502 505
DNA	O 506 509
and	O 510 513
incubated	B-P 514 523
for	O 524 527
15min	O 528 533
at	O 534 536
room	O 537 541
temperature	O 542 553
and	O 554 557
then	O 558 562
liposome	B-M 563 571
was	O 572 575
added	B-P 576 581
with	O 582 586
rapid	O 587 592
mixing	O 593 599
and	O 600 603
incubated	B-P 604 613
at	O 614 616
room	O 617 621
temperature	O 622 633
for	O 634 637
a	O 638 639
further	O 640 647
20min.	O 648 653

Irrespective	O 655 667
of	O 668 670
the	O 671 674
method	O 675 681
of	O 682 684
order	O 685 690
of	O 691 693
mixing,	O 694 700
all	O 702 705
molar	O 706 711
charge	O 712 718
ratios	O 719 725
in	O 726 728
this	O 729 733
study	O 734 739
refer	O 740 745
to	O 746 748
L:P:D.	O 749 754
Cationic	O 756 764
formulations	O 765 777
LPD	B-M 778 781
and	O 782 785
LCPRGPD	B-M 786 793
were	O 794 798
prepared	O 799 807
in	O 808 810
the	O 811 814
order	O 815 820
L:P:D	O 821 826
as	O 827 829
described	O 830 839
previously;	O 840 850
first,	O 852 857
the	O 859 862
peptide	O 863 870
was	O 871 874
added	B-P 875 880
to	O 881 883
the	O 884 887
liposome	O 888 896
DOTMA/DOPE	O 897 907
or	O 908 910
LCPRG	B-M 911 916
followed	O 917 925
by	O 926 928
addition	O 929 937
of	O 938 940
the	O 941 944
DNA	B-M 945 948
with	O 949 953
rapid	B-P 954 959
mixing	I-P 960 966
and	I-P 967 970
incubated	I-P 971 980
for	O 981 984
30min	O 985 990
at	O 991 993
room	O 994 998
temperature	O 999 1010
to	O 1011 1013
allow	O 1014 1019
for	O 1020 1023
complex	O 1024 1031
formation	O 1032 1041
[30].	O 1042 1046

The	O 1048 1051
nanocomplexes	O 1052 1065
prepared	O 1066 1074
were	O 1075 1079
termed	O 1080 1086
LPD	B-M 1087 1090
(liposome	O 1091 1100
DOTMA/DOPE),	O 1101 1112
LADP	B-M 1114 1118
and	O 1119 1122
PDLA	B-M 1123 1127
(liposome	O 1128 1137
LA),	O 1138 1141
PDLAP1	B-M 1143 1149
(liposome	O 1150 1159
LAP1),	O 1160 1165
PDLAP2	B-M 1167 1173
(liposome	O 1174 1183
LAP2),	O 1184 1189
PDLAPRG	B-M 1191 1198
(liposome	O 1199 1208
LAPRG)	O 1209 1215
and	O 1216 1219
LCPRGPD	B-M 1220 1227
(liposome	O 1228 1237
LCPRG).	O 1238 1244

