Equilibrium	B-M 0 11
surface	I-M 12 19
tension	I-M 20 27
was	O 28 31
measured	O 32 40
at	O 41 43
21°C	O 44 48
with	O 49 53
a	O 54 55
SITA	B-P 56 60
pro	I-P 61 64
line	I-P 65 69
t-15	I-P 70 74
bubble	I-P 75 81
tensiometer.	I-P 82 93

Rheological	B-P 95 106
measurements	I-P 107 119
were	O 120 124
performed	O 125 134
with	O 135 139
an	O 140 142
ARES	B-P 143 147
rheometer	I-P 148 157
at	O 158 160
shear	O 161 166
rates	O 167 172
up	O 173 175
to	O 176 178
15s−1	O 179 184
and	O 185 188
with	O 189 193
a	O 194 195
piezo	B-P 196 201
axial	I-P 202 207
vibrator	I-P 208 216
[21]	O 217 221
(PAV)	O 222 227
at	O 228 230
frequencies	O 231 242
up	O 243 245
to	O 246 248
6kHz.	O 249 253

Table	O 255 260
1	O 261 262
shows	O 263 268
the	O 269 272
measured	O 273 281
values	B-M 282 288
of	I-M 289 291
viscosity	I-M 292 301
(the	O 302 306
real	O 307 311
component	O 312 321
η′	O 322 324
of	O 325 327
complex	O 328 335
viscosity)	O 336 346
at	O 347 349
1s−1	O 350 354
and	O 355 358
4000s−1	O 359 366
and	O 367 370
of	O 371 373
surface	B-M 374 381
tension	I-M 382 389
for	O 390 393
the	O 394 397
solutions	O 398 407
with	O 408 412
and	O 413 416
without	O 417 424
the	O 425 428
surfactant	O 429 439
mixture.	O 440 447

For	O 449 452
the	O 453 456
most	B-M 457 461
concentrated	I-M 462 474
(1.1wt%)	I-M 475 483
solution,	I-M 484 492
viscosity	O 494 503
fell	O 504 508
from	O 509 513
>60mPas	O 514 521
at	O 522 524
low	O 525 528
shear	O 529 534
rate	O 535 539
to	O 540 542
about	O 543 548
4mPas	O 549 554
at	O 555 557
the	O 558 561
highest	O 562 569
shear	O 570 575
rates.	O 576 581

The	O 583 586
PEDOT:PSS	B-M 587 596
fluids	I-M 597 603
also	O 604 608
exhibited	O 609 618
elasticity	O 619 629
that	O 630 634
steadily	O 635 643
reduced	O 644 651
with	O 652 656
increasing	O 657 667
frequency	O 668 677
[4].	O 678 681

All	O 683 686
the	O 687 690
aqueous	O 691 698
PEDOT:PSS	B-M 699 708
solutions	I-M 709 718
shear-thinned	O 719 732
significantly,	O 733 746
but	O 748 751
the	O 752 755
presence	O 756 764
of	O 765 767
surfactants	O 768 779
did	O 780 783
not	O 784 787
affect	O 788 794
the	O 795 798
trends	O 799 805
in	O 806 808
the	O 809 812
rheological	O 813 824
behaviour,	O 825 834
particularly	O 836 848
at	O 849 851
the	O 852 855
higher	O 856 862
frequencies	O 863 874
(10–4000s−1).	O 875 887

