Evolutionary	B-P 0 12
Algorithms	I-P 13 23
are	O 24 27
the	O 28 31
stochastic	B-P 32 42
optimization	I-P 43 55
methods,	I-P 56 63
simulating	O 65 75
the	O 76 79
behavior	O 80 88
of	O 89 91
natural	B-P 92 99
evolution.	I-P 100 109

These	O 111 116
algorithms	O 117 127
are	O 128 131
basically	O 132 141
population	B-P 142 152
based	I-P 153 158
search	I-P 159 165
procedures	I-P 166 176
efficiently	O 177 188
dealing	O 189 196
with	O 197 201
complex	O 202 209
search	O 210 216
spaces	O 217 223
having	O 224 230
robust	O 231 237
and	O 238 241
powerful	O 242 250
search	B-P 251 257
mechanism.	I-P 258 267

EAs	B-P 269 272
are	O 273 276
highly	O 277 283
applicable	O 284 294
in	O 295 297
multiobjective	O 298 312
optimization	B-P 313 325
problem	I-P 326 333
which	O 334 339
are	O 340 343
having	O 344 350
conflicting	O 351 362
objectives.	O 363 373

This	O 375 379
paper	O 380 385
reviews	B-T 386 393
the	I-T 394 397
work	I-T 398 402
carried	I-T 403 410
out	I-T 411 414
for	I-T 415 418
diversity	I-T 419 428
and	I-T 429 432
convergence	I-T 433 444
issues	I-T 445 451
in	I-T 452 454
EMO.	B-P 455 458

