Along	O 0 5
with	O 6 10
the	O 11 14
expansion	B-T 15 24
of	I-T 25 27
computer-based	I-T 28 42
climate	I-T 43 50
simulations,	I-T 51 62
efficient	O 64 73
visualization	B-T 74 87
and	I-T 88 91
analysis	I-T 92 100
of	I-T 101 103
massive	I-T 104 111
climate	I-T 112 119
data	I-T 120 124
are	O 125 128
becoming	O 129 137
more	O 138 142
important	O 143 152
than	O 153 157
ever.	O 158 162

In	O 164 166
this	O 167 171
paper,	O 172 177
we	O 179 181
try	O 182 185
to	O 186 188
explore	B-T 189 196
the	I-T 197 200
factors	I-T 201 208
behide	I-T 209 215
climate	I-T 216 223
changes	I-T 224 231
by	O 232 234
combining	B-P 235 244
window	I-P 245 251
query	I-P 252 257
and	I-P 258 261
time-varying	I-P 262 274
data	I-P 275 279
mining	I-P 280 286
techniques.	I-P 287 297

With	O 299 303
constant	O 304 312
query	O 313 318
time	O 319 323
and	O 324 327
acceptable	O 328 338
storage	O 339 346
cost,	O 347 351
the	O 353 356
algorithms	B-P 357 367
presented	O 368 377
support	O 378 385
various	O 386 393
queries	B-P 394 401
on	O 402 404
3d	B-P 405 407
time-varying	I-P 408 420
datasets,	I-P 421 429
such	O 431 435
as	O 436 438
average,	O 439 446
min,	O 448 451
and	O 453 456
max	O 457 460
value.	O 461 466

A	O 468 469
new	O 470 473
time-varying	B-P 474 486
data	I-P 487 491
analysis	I-P 492 500
algorithm	I-P 501 510
is	O 511 513
given,	O 514 519
which	O 521 526
is	O 527 529
especially	O 530 540
suitable	O 541 549
for	O 550 553
analyzing	B-T 554 563
big	I-T 564 567
data.	I-T 568 572

All	O 574 577
these	O 578 583
algorithms	B-P 584 594
have	O 595 599
been	O 600 604
implemented	B-T 605 616
on	I-T 617 619
and	I-T 620 623
integrated	I-T 624 634
into	I-T 635 639
a	I-T 640 641
visual	I-T 642 648
analysis	I-T 649 657
system,	I-T 658 664
with	O 666 670
tiled-LCD	B-M 671 680
ultra-resolution	I-M 681 697
display.	I-M 698 705

Experimental	O 707 719
results	O 720 727
on	O 728 730
several	B-M 731 738
datasets	I-M 739 747
from	I-M 748 752
practical	I-M 753 762
applications	I-M 763 775
are	O 776 779
presented.	O 780 789

