Contractor	B-T 0 10
selection	I-T 11 20
for	O 21 24
a	O 25 26
project	O 27 34
is	O 35 37
an	O 38 40
important	O 41 50
decision,	O 51 59
one	O 61 64
for	O 65 68
the	O 69 72
project	B-M 73 80
time	I-M 81 85
and	I-M 86 89
cost,	I-M 90 94
next	O 96 100
for	O 101 104
the	O 105 108
quality	B-M 109 116
obtained	O 117 125
by	O 126 128
the	O 129 132
project.	O 133 140

Although	O 142 150
the	O 151 154
project	B-M 155 162
managers	I-M 163 171
can	O 172 175
easily	O 176 182
determine	B-T 183 192
the	I-T 193 196
project	B-M 197 204
time	I-M 205 209
and	I-M 210 213
cost,	I-M 214 218
the	O 220 223
quality	O 224 231
is	O 232 234
usually	O 235 242
undefined	O 243 252
especially	O 253 263
for	O 264 267
un-experienced	B-M 268 282
managers.	I-M 283 291

With	O 293 297
a	O 298 299
learnable	B-P 300 309
property,	I-P 310 318
an	O 320 322
approach	O 323 331
is	O 332 334
first	O 335 340
introduced	O 341 351
in	O 352 354
this	O 355 359
paper	O 360 365
to	O 366 368
quantify	B-T 369 377
the	I-T 378 381
quality	I-T 382 389
obtained	I-T 390 398
for	I-T 399 402
a	I-T 403 404
gas	B-P 405 408
well	I-P 409 413
drilling	I-P 414 422
project.	I-P 423 430

Then,	O 432 436
based	O 438 443
on	O 444 446
these	O 447 452
three	O 453 458
objectives	B-M 459 469
(time,	B-M 470 475
cost,	B-M 477 481
and	O 483 486
quality),	O 487 495
a	O 497 498
contractor	B-T 499 509
selection	I-T 510 519
problem	I-T 520 527
is	O 528 530
converted	O 531 540
to	O 541 543
an	O 544 546
optimization	B-T 547 559
problem.	I-T 560 567

Next,	O 569 573
the	O 575 578
NSGA-II	B-P 579 586
algorithm	I-P 587 596
is	O 597 599
utilized	O 600 608
for	O 609 612
solution.	O 613 621

At	O 623 625
the	O 626 629
end,	O 630 633
a	O 635 636
sensitivity	B-P 637 648
analysis	I-P 649 657
is	O 658 660
performed	O 661 670
to	O 671 673
select	O 674 680
the	O 681 684
parameters	O 685 695
of	O 696 698
the	O 699 702
algorithm.	O 703 712

