Although	O 0 8
the	O 9 12
presented	O 13 22
model	O 23 28
is	O 29 31
developed	O 32 41
and	O 42 45
tested	O 46 52
with	O 53 57
a-C:H	B-M 58 63
layers	I-M 64 70
in	O 71 73
mind,	O 74 78
it	O 80 82
is	O 83 85
not	O 86 89
necessarily	O 90 101
limited	O 102 109
to	O 110 112
them.	O 113 117

Moreover,	O 119 127
the	O 129 132
only	O 133 137
assumptions	O 138 149
are	O 150 153
chemical	B-P 154 162
reactions	I-P 163 172
between	O 173 180
the	O 181 184
gas	B-M 185 188
and	O 189 192
the	O 193 196
solid	B-M 197 202
forming	I-M 203 210
volatiles,	I-M 211 220
the	O 222 225
loss	O 226 230
of	O 231 233
these	O 234 239
volatiles	O 240 249
from	O 250 254
the	O 255 258
material	O 259 267
and	O 268 271
the	O 272 275
two	O 276 279
stated	O 280 286
boundary	O 287 295
conditions	O 296 306
of	O 307 309
gas	B-P 310 313
influx	I-P 314 320
at	O 321 323
a	O 324 325
single	B-M 326 332
outer	I-M 333 338
surface	I-M 339 346
and	O 347 350
the	O 351 354
possibility	O 355 366
of	O 367 369
reactions	B-P 370 379
throughout	O 380 390
the	O 391 394
bulk.	O 395 399

Porosity	B-P 401 409
and	O 410 413
significant	O 414 425
gas	B-M 426 429
inventories	I-M 430 441
were	O 442 446
observed	O 447 455
not	O 456 459
only	O 460 464
for	O 465 468
carbon	B-M 469 475
[12]	O 476 480
but,	O 481 484
e.g.	O 486 489
also	O 491 495
for	O 496 499
beryllium	B-M 500 509
co-deposits	I-M 510 521
[25]	O 522 526
and	O 527 530
can	O 531 534
be	O 535 537
expected	O 538 546
for	O 547 550
other	O 551 556
co-deposits	O 557 568
formed	O 569 575
in	O 576 578
plasma	B-M 579 585
devices	I-M 586 593
[1].	O 594 597

Thus,	O 599 603
TCR	B-M 605 608
and	O 609 612
its	O 613 616
description	O 617 628
by	O 629 631
the	O 632 635
presented	O 636 645
model	O 646 651
may	O 652 655
be	O 656 658
applicable	O 659 669
to	O 670 672
all	O 673 676
deposits.	O 677 685

If	O 687 689
a	O 690 691
layer	O 692 697
has	O 698 701
constituents	B-P 702 714
that	I-P 715 719
are	I-P 720 723
not	I-P 724 727
forming	I-P 728 735
volatiles	I-P 736 745
with	I-P 746 750
the	I-P 751 754
reactive	I-P 755 763
gas,	I-P 764 767
e.g.	O 769 772
W	B-P 774 775
and	I-P 776 779
Be	I-P 780 782
with	I-P 783 787
O2,	I-P 788 790
these	O 792 797
constituents	O 798 810
cannot	O 811 817
be	O 818 820
removed	O 821 828
by	O 829 831
TCR,	B-M 832 835
as	O 837 839
they	O 840 844
will	O 845 849
not	O 850 853
be	O 854 856
removed	O 857 864
from	O 865 869
the	O 870 873
deposit.	O 874 881

This	O 883 887
can	O 888 891
influence	O 892 901
the	O 902 905
removal	O 906 913
of	O 914 916
other	O 917 922
deposit	B-M 923 930
constituents	I-M 931 943
and	O 944 947
the	O 948 951
time	O 952 956
evolution	O 957 966
of	O 967 969
the	O 970 973
process	O 974 981
can	O 982 985
change.	O 986 992

The	O 994 997
new	O 998 1001
understanding	O 1002 1015
of	O 1016 1018
TCR	B-M 1019 1022
may,	O 1023 1026
for	O 1028 1031
the	O 1032 1035
first	O 1036 1041
time,	O 1042 1046
allow	O 1048 1053
applying	O 1054 1062
the	O 1063 1066
method	O 1067 1073
in	O 1074 1076
a	O 1077 1078
controlled	O 1079 1089
way	O 1090 1093
to	O 1094 1096
nuclear	B-M 1097 1104
fusion	I-M 1105 1111
devices,	I-M 1112 1119
possibly	O 1121 1129
solving	O 1130 1137
the	O 1138 1141
tritium	B-P 1142 1149
retention	I-P 1150 1159
issue	I-T 1160 1165
especially	O 1166 1176
related	O 1177 1184
to	O 1185 1187
carbon	B-M 1188 1194
based	I-M 1195 1200
materials.	I-M 1201 1210

