Ferritic	B-M 0 8
and	I-M 9 12
martensitic	I-M 13 24
steels	I-M 25 31
are	O 32 35
candidate	O 36 45
materials	O 46 55
for	O 56 59
use	O 60 63
in	O 64 66
nuclear	B-M 67 74
reactors	I-M 75 83
[1,2].	O 84 89

The	O 91 94
transmutation-created	B-M 95 116
inert	I-M 117 122
gas,	I-M 123 126
especially	O 128 138
He,	B-M 139 141
plays	O 143 148
an	O 149 151
important	O 152 161
role	O 162 166
in	O 167 169
the	O 170 173
microstructural	B-T 174 189
evolution	I-T 190 199
of	I-T 200 202
these	I-T 203 208
steels	B-M 209 215
under	I-T 216 221
neutron	B-P 222 229
irradiation.	I-P 230 241

In	O 243 245
a	O 246 247
previous	O 248 256
paper	O 257 262
[3]	O 263 266
the	O 267 270
mechanisms	B-T 271 281
by	I-T 282 284
which	I-T 285 290
He	B-M 291 293
in	I-T 294 296
a	I-T 297 298
perfect	I-T 299 306
body-centred-cubic	B-M 307 325
(bcc)	I-T 326 331
Fe	B-M 332 334
lattice,	I-M 335 342
can	I-T 344 347
agglomerate	I-T 348 359
into	I-T 360 364
bubbles	B-M 365 372
was	O 373 376
discussed.	O 377 386

It	O 388 390
was	O 391 394
shown	O 395 400
that	O 401 405
small	O 406 411
He	B-M 412 414
interstitial	I-M 415 427
clusters	I-M 428 436
are	O 437 440
highly	O 441 447
mobile	O 448 454
but	O 455 458
become	O 459 465
effectively	O 466 477
pinned	O 478 484
with	O 485 489
the	O 490 493
emission	O 494 502
of	O 503 505
Fe	B-M 506 508
interstitials	I-M 509 522
when	O 523 527
the	O 528 531
clusters	O 532 540
contain	O 541 548
5	O 549 550
or	O 551 553
more	O 554 558
He	B-M 559 561
atoms.	I-M 562 567

Small	O 569 574
bubbles	B-M 575 582
up	O 583 585
to	O 586 588
around	O 589 595
1.5	O 596 599
nm	O 600 602
in	O 603 605
diameter	O 606 614
can	O 615 618
easily	O 619 625
form	O 626 630
at	O 631 633
room	O 634 638
temperature	O 639 650
from	O 651 655
such	O 656 660
seed	O 661 665
points	O 666 672
but	O 673 676
larger	O 677 683
bubbles	B-M 684 691
are	O 692 695
more	O 696 700
difficult	O 701 710
to	O 711 713
form	O 714 718
by	O 719 721
diffusion	B-P 722 731
alone	O 732 737
due	O 738 741
to	O 742 744
the	O 745 748
induced	B-P 749 756
strain	I-P 757 763
in	O 764 766
the	O 767 770
bcc	B-M 771 774
lattice	I-M 775 782
which	O 783 788
increases	O 789 798
the	O 799 802
energy	O 803 809
barriers	O 810 818
for	O 819 822
diffusion	B-M 823 832
towards	O 833 840
the	O 841 844
bubbles	B-M 845 852
whilst	O 853 859
reducing	O 860 868
them	O 869 873
in	O 874 876
a	O 877 878
direction	O 879 888
away	O 889 893
from	O 894 898
the	O 899 902
bubbles.	B-M 903 910

Subsequent	O 912 922
bubble	B-P 923 929
enlargement	I-P 930 941
can	O 942 945
then	O 946 950
only	O 951 955
occur	O 956 961
either	O 962 968
through	O 969 976
increased	O 977 986
temperature	O 987 998
or	O 999 1001
by	O 1002 1004
radiation	B-P 1005 1014
induced	I-P 1015 1022
mechanisms	I-P 1023 1033
which	O 1034 1039
increase	O 1040 1048
the	O 1049 1052
number	O 1053 1059
of	O 1060 1062
vacancies	O 1063 1072
in	O 1073 1075
the	O 1076 1079
bubble	B-M 1080 1086
and	O 1087 1090
reduce	B-T 1091 1097
the	I-T 1098 1101
lattice	I-T 1102 1109
strain.	I-T 1110 1116

Emission	B-P 1118 1126
of	I-P 1127 1129
interracial	I-P 1130 1141
loops	I-P 1142 1147
from	O 1148 1152
such	O 1153 1157
a	O 1158 1159
bubble	B-M 1160 1166
was	O 1167 1170
not	O 1171 1174
observed	O 1175 1183
in	O 1184 1186
molecular	B-P 1187 1196
dynamics	I-P 1197 1205
simulations.	I-P 1206 1217

