An	O 0 2
increase	O 3 11
of	O 12 14
neutron	B-P 15 22
leakage	I-P 23 30
from	O 31 35
the	O 36 39
core	B-M 40 44
region	I-M 45 51
can	O 52 55
be	O 56 58
achieved	O 59 67
through	O 68 75
modifications	B-P 76 89
in	I-P 90 92
the	I-P 93 96
core	I-P 97 101
geometry	I-P 102 110
(usually	O 111 119
by	O 120 122
adopting	O 123 131
a	O 132 133
pan-cake	B-P 134 142
geometry	I-P 143 151
of	I-P 152 154
the	I-P 155 158
active	I-P 159 165
core	I-P 166 170
region	I-P 171 177
at	O 178 180
the	O 181 184
expense	O 185 192
of	O 193 195
the	O 196 199
general	O 200 207
neutron	B-M 208 215
economy).	O 216 224

Extensive	O 226 235
studies	O 236 243
determined	O 244 254
a	O 255 256
set	O 257 260
of	O 261 263
core	B-T 264 268
design	I-T 269 275
modifications	I-T 276 289
that	I-T 290 294
optimised	I-T 295 304
the	I-T 305 308
total	I-T 309 314
sodium	B-M 315 321
void	I-T 322 326
reactivity	I-T 327 337
(becoming	O 338 347
less	O 348 352
positive).	O 353 362

Among	O 364 369
the	O 370 373
most	O 374 378
efficient	O 379 388
design	B-P 389 395
solutions	I-P 396 405
identified	O 406 416
is	O 417 419
an	O 420 422
enlarged	B-P 423 431
sodium	B-M 432 438
plenum	I-M 439 445
above	O 446 451
the	O 452 455
active	O 456 462
core	B-M 463 467
region	O 468 474
in	O 475 477
combination	O 478 489
with	O 490 494
an	O 495 497
absorber	B-P 498 506
layer	I-P 507 512
above	O 513 518
the	O 519 522
sodium	B-M 523 529
plenum	I-M 530 536
(to	O 537 540
reduce	B-T 541 547
neutron	I-T 548 555
backscattering	I-T 556 570
from	I-T 571 575
the	I-T 576 579
reflector	I-T 580 589
region	I-T 590 596
above	I-T 597 602
the	I-T 603 606
plenum).	O 607 614

Fig.	O 616 619
19	O 621 623
shows	O 624 629
the	O 630 633
combined	O 634 642
effect	O 643 649
of	O 650 652
different	O 653 662
upper	B-M 663 668
plenum	I-M 669 675
thicknesses	O 676 687
of	O 688 690
the	O 691 694
absorber	B-M 695 703
and	I-M 704 707
boron	I-M 708 713
layers.	I-M 714 720

It	O 722 724
can	O 725 728
be	O 729 731
observed	O 732 740
that	O 741 745
the	O 746 749
sequential	O 750 760
increase	B-P 761 769
of	I-P 770 772
the	I-P 773 776
layer's	I-P 777 784
thickness	I-P 785 794
converge	O 795 803
to	O 804 806
an	O 807 809
asymptotic	O 810 820
value	O 821 826
of	O 827 829
reactivity	B-P 830 840
reduction	I-P 841 850
slightly	O 851 859
over	O 860 864
800pcm.	O 865 871

The	O 873 876
pair	O 877 881
of	O 882 884
values	O 885 891
selected	O 892 900
was	O 901 904
60cm	O 905 909
for	O 910 913
the	O 914 917
sodium	B-M 918 924
plenum	I-M 925 931
and	O 932 935
30cm	O 936 940
for	O 941 944
the	O 945 948
boron	B-M 949 954
layer.	I-M 955 960

These	O 962 967
modifications	O 968 981
implied	O 982 989
a	O 990 991
considerable	O 992 1004
increase	B-P 1005 1013
in	I-P 1014 1016
the	I-P 1017 1020
sub-assembly	I-P 1021 1033
length	I-P 1034 1040
that	O 1041 1045
was	O 1046 1049
compensated	O 1050 1061
by	O 1062 1064
reducing	B-T 1065 1073
the	I-T 1074 1077
upper	I-T 1078 1083
axial	B-M 1084 1089
reflector	I-M 1090 1099
width	I-T 1100 1105
(Sun	O 1106 1110
et	O 1111 1113
al.,	O 1114 1117
2013).	O 1119 1124

