Mice	B-T 0 4
bearing	I-T 5 12
the	I-T 13 16
orthotopic	I-T 17 27
model	I-T 28 33
were	O 34 38
treated	O 39 46
starting	O 47 55
from	O 56 60
day	O 61 64
21	O 65 67
after	O 68 73
NB	O 74 76
cell	O 77 81
implant;	O 82 89
mice	B-T 91 95
with	I-T 96 100
the	I-T 101 104
pseudo-metastatic	I-T 105 122
model	I-T 123 128
received	O 129 137
the	O 138 141
first	O 142 147
treatment	O 148 157
4h	O 158 160
after	O 161 166
NB	O 167 169
cell	O 170 174
injection.	O 175 184

These	B-T 186 191
therapeutic	I-T 192 203
schedules	I-T 204 213
were	O 214 218
designed	O 219 227
to	O 228 230
test	B-P 231 235
the	I-P 236 239
effects	I-P 240 247
of	O 248 250
our	B-M 251 254
targeted	I-M 255 263
formulations	I-M 264 276
against	O 277 284
both	O 285 289
established	O 290 301
and	O 302 305
pseudo-metastatic	O 306 323
preclinical	B-M 324 335
models	I-M 336 342
of	O 343 345
human	O 346 351
NB,	O 352 354
as	O 356 358
described	O 359 368
[16,19].	O 369 376

Animals	B-T 378 385
were	O 386 390
treated	O 391 398
i.v.	O 399 402

once	O 404 408
a	O 409 410
week	O 411 415
for	O 416 419
3	O 420 421
weeks	O 422 427
with	O 428 432
untargeted	B-M 433 443
(SL[DXR])	O 444 453
or	O 454 456
peptide-targeted	B-M 457 473
SL[DXR]	I-M 474 481
(5mg/kg).	O 482 490

Scrambled	B-T 492 501
peptide-functionalized	I-T 502 524
liposomes	I-T 525 534
were	O 535 539
used	O 540 544
as	O 545 547
a	O 548 549
control,	O 550 557
and	O 559 562
in	O 563 565
every	O 566 571
experiment	O 572 582
a	O 583 584
group	O 585 590
of	O 591 593
control	O 594 601
mice	O 602 606
received	O 607 615
HEPES-buffered	B-M 616 630
saline.	I-M 631 637

Survival	B-M 639 647
times	I-M 648 653
were	O 654 658
used	O 659 663
as	O 664 666
the	O 667 670
main	O 671 675
criterion	O 676 685
for	O 686 689
determining	B-T 690 701
treatment	I-T 702 711
efficacy.	I-T 712 720

In	O 722 724
the	O 725 728
orthotopic	B-T 729 739
model,	I-T 740 745
time-dependent	B-M 747 761
anti-tumor	I-M 762 772
activity	I-M 773 781
was	O 782 785
also	O 786 790
evaluated	O 791 800
by	O 801 803
bioluminescence	O 804 819
imaging	O 820 827
(BLI)	O 828 833
and	O 834 837
X-ray	O 838 843
analyses.	O 844 852

For	O 854 857
this	O 858 862
purpose,	O 863 870
the	B-T 872 875
GI-LI-N	I-T 876 883
cell	I-T 884 888
line	I-T 889 893
was	O 894 897
infected	B-P 898 906
with	O 907 911
a	O 912 913
retrovirus	O 914 924
expressing	O 925 935
the	O 936 939
firefly	O 940 947
luciferase	O 948 958
gene,	O 959 963
as	O 965 967
previously	O 968 978
reported	O 979 987
[17];	O 988 992
luciferase	B-T 994 1004
activity	I-T 1005 1013
of	O 1014 1016
retrovirally-transduced	B-M 1017 1040
cells	I-M 1041 1046
was	O 1047 1050
visualized	B-P 1051 1061
in	O 1062 1064
vivo	O 1065 1069
by	O 1070 1072
BLI	O 1073 1076
(IVIS	O 1077 1082
Caliper	O 1083 1090
Life	O 1091 1095
Sciences,	O 1096 1104
Hopkinton,	O 1106 1115
MA)	O 1117 1120
after	O 1121 1126
a	O 1127 1128
10min	O 1129 1134
incubation	O 1135 1145
with	O 1146 1150
150μg/mL	O 1151 1159
of	O 1160 1162
d-luciferin	B-M 1163 1174
(Caliper	O 1175 1183
Life	O 1184 1188
Sciences),	O 1189 1198
as	O 1200 1202
described	O 1203 1212
[17].	O 1213 1217

X-ray	O 1219 1224
analysis	O 1225 1233
was	O 1234 1237
superimposed	O 1238 1250
to	O 1251 1253
the	O 1254 1257
luminescence	O 1258 1270
for	O 1271 1274
a	O 1275 1276
better	O 1277 1283
visualization	O 1284 1297
of	O 1298 1300
the	O 1301 1304
tumors.	O 1305 1311

