Similar	O 0 7
numerical	B-KP 8 17
oscillations	I-KP 18 30
to	O 31 33
those	O 34 39
described	O 40 49
above	O 50 55
also	O 56 60
emerge	O 61 67
in	O 68 70
the	O 71 74
ISPM	B-KP 75 79
when	O 80 84
utilising	O 85 94
classical	B-KP 95 104
IBM	I-KP 105 108
kernels	I-KP 109 116
due	O 117 120
to	O 121 123
their	O 124 129
lack	O 130 134
of	O 135 137
regularity	O 138 148
(with	O 149 154
discontinuous	O 155 168
second	O 169 175
derivatives).	O 176 189

Furthermore,	O 190 202
it	O 203 205
is	O 206 208
important	O 209 218
to	O 219 221
remark	O 222 228
that	O 229 233
the	O 234 237
immersed	O 238 246
structure	O 247 256
stresses	O 257 265
are	O 266 269
captured	O 270 278
in	O 279 281
the	O 282 285
Lagrangian	B-KP 286 296
description	I-KP 297 308
and	O 309 312
hence,	O 313 319
in	O 320 322
order	O 323 328
to	O 329 331
compute	O 332 339
them	O 340 344
accurately,	O 345 356
it	O 357 359
is	O 360 362
important	O 363 372
to	O 373 375
ensure	O 376 382
that	O 383 387
these	O 388 393
spurious	O 394 402
oscillations	B-KP 403 415
are	O 416 419
not	O 420 423
introduced	O 424 434
via	O 435 438
the	O 439 442
kernel	B-KP 443 449
interpolation	I-KP 450 463
functions.	I-KP 464 474

In	O 475 477
this	O 478 482
paper,	O 483 489
the	O 490 493
authors	O 494 501
have	O 502 506
specifically	O 507 519
designed	O 520 528
a	O 529 530
new	B-KP 531 534
family	I-KP 535 541
of	I-KP 542 544
kernel	I-KP 545 551
functions	I-KP 552 561
which	O 562 567
do	B-KP 568 570
not	I-KP 571 574
introduce	I-KP 575 584
these	I-KP 585 590
spurious	I-KP 591 599
oscillations.	B-KP 600 613

The	O 614 617
kernel	B-KP 618 624
functions	I-KP 625 634
are	O 635 638
obtained	O 639 647
by	O 648 650
taking	O 651 657
into	O 658 662
account	O 663 670
discrete	O 671 679
reproducibility	O 680 695
conditions	O 696 706
as	O 707 709
originally	O 710 720
introduced	O 721 731
by	O 732 734
Peskin	O 735 741
[14]	O 742 746
(in	O 747 750
our	O 751 754
case,	O 755 760
tailor-made	O 761 772
for	O 773 776
Cartesian	B-KP 777 786
staggered	I-KP 787 796
grids)	I-KP 797 803
and	O 804 807
regularity	O 808 818
requirements	O 819 831
to	O 832 834
prevent	O 835 842
the	O 843 846
appearance	O 847 857
of	O 858 860
spurious	O 861 869
oscillations	B-KP 870 882
when	O 883 887
computing	O 888 897
derivatives.	O 898 910

A	O 911 912
Maple	B-KP 913 918
computer	I-KP 919 927
program	I-KP 928 935
has	O 936 939
been	O 940 944
developed	O 945 954
to	O 955 957
obtain	B-KP 958 964
explicit	I-KP 965 973
expressions	I-KP 974 985
for	I-KP 986 989
the	I-KP 990 993
new	B-KP 994 997
kernels.	I-KP 998 1006

