Discovering	O 0 11
that	O 12 16
both	O 17 21
the	O 22 25
vacancy	O 26 33
and	O 34 37
interstitial	O 38 50
defect	B-KP 51 57
migration	I-KP 58 67
pathways	I-KP 68 76
are	O 77 80
confined	O 81 89
to	O 90 92
Ga-free	B-KP 93 100
regions	O 101 108
suggests	O 109 117
changes	O 118 125
in	O 126 128
recombination	O 129 142
rates	O 143 148
of	O 149 151
isolated	O 152 160
vacancy-interstitial	O 161 181
pairs	O 182 187
in	O 188 190
comparison	O 191 201
to	O 202 204
pure	O 205 209
Pu.	O 210 213

The	O 214 217
degree	O 218 224
to	O 225 227
which	O 228 233
the	O 234 237
rates	O 238 243
are	O 244 247
effected	O 248 256
depends	O 257 264
on	O 265 267
the	O 268 271
distribution	O 272 284
of	O 285 287
residual	O 288 296
defects	O 297 304
post	O 305 309
a	O 310 311
cascade	B-KP 312 319
event,	I-KP 320 326
in	O 327 329
addition	O 330 338
to	O 339 341
the	O 342 345
concentration	O 346 359
and	O 360 363
ordering	O 364 372
of	O 373 375
the	O 376 379
Ga	B-KP 380 382
atoms.	I-KP 383 389

If	O 390 392
vacancies	O 393 402
and	O 403 406
interstitials	O 407 420
become	O 421 427
greatly	O 428 435
separated	O 436 445
after	O 446 451
the	O 452 455
collision	B-KP 456 465
cascade,	I-KP 466 474
then	O 475 479
pathways	O 480 488
to	O 489 491
recombination	O 492 505
are	O 506 509
likely	O 510 516
to	O 517 519
become	O 520 526
restricted	O 527 537
and	O 538 541
recovery	O 542 550
times	O 551 556
will	O 557 561
be	O 562 564
extended.	O 565 574

This	O 575 579
is	O 580 582
viable	O 583 589
for	O 590 593
cascades	O 594 602
that	O 603 607
created	O 608 615
a	O 616 617
vacancy	O 618 625
rich	O 626 630
core	O 631 635
surrounded	O 636 646
by	O 647 649
dispersed	O 650 659
interstitials,	O 660 674
as	O 675 677
found	O 678 683
for	O 684 687
the	O 688 691
low	B-KP 692 695
energy	I-KP 696 702
cascades	I-KP 703 711
in	I-KP 712 714
Pu	I-KP 715 717
and	I-KP 718 721
PuGa	I-KP 722 726
[11,12].	O 727 735

This	O 736 740
may	O 741 744
also	O 745 749
be	O 750 752
the	O 753 756
case	O 757 761
for	O 762 765
channelling	B-KP 766 777
events,	I-KP 778 785
where	O 786 791
energetic	B-KP 792 801
atoms	I-KP 802 807
travel	I-KP 808 814
deep	I-KP 815 819
into	I-KP 820 824
the	I-KP 825 828
lattice	I-KP 829 836
through	I-KP 837 844
channels	I-KP 845 853
of	I-KP 854 856
low	I-KP 857 860
atomic	I-KP 861 867
density.	I-KP 868 876

