Zirconium	B-KP 0 9
alloys	I-KP 10 16
are	O 17 20
commonly	O 21 29
used	O 30 34
as	O 35 37
the	O 38 41
fuel	B-KP 42 46
cladding	I-KP 47 55
for	O 56 59
water	B-KP 60 65
cooled	I-KP 66 72
nuclear	I-KP 73 80
fission	I-KP 81 88
reactors,	I-KP 89 98
mainly	O 99 105
due	O 106 109
to	O 110 112
their	O 113 118
low	O 119 122
neutron	O 123 130
cross-section,	O 131 145
good	O 146 150
corrosion	O 151 160
resistance	O 161 171
during	O 172 178
normal	O 179 185
operating	O 186 195
conditions	O 196 206
and	O 207 210
sufficient	O 211 221
mechanical	O 222 232
strength	O 233 241
[1].	O 242 246

Despite	O 247 254
high	O 255 259
corrosion	O 260 269
resistance	O 270 280
at	O 281 283
normal	O 284 290
operating	O 291 300
temperatures	O 301 313
(around	O 314 321
300	O 322 325
°C)	O 326 329
[2],	O 330 334
Zr	B-KP 335 337
alloys	I-KP 338 344
oxidise	B-KP 345 352
very	O 353 357
rapidly	O 358 365
when	O 366 370
exposed	O 371 378
to	O 379 381
temperatures	O 382 394
a	O 395 396
few	O 397 400
hundred	O 401 408
degrees	O 409 416
higher.	O 417 424

This	O 425 429
is	O 430 432
an	O 433 435
exothermic	B-KP 436 446
reaction,	I-KP 447 456
which	O 457 462
can	O 463 466
further	O 467 474
accelerate	O 475 485
oxidation	B-KP 486 495
and,	O 496 500
at	O 501 503
temperatures	O 504 516
beyond	O 517 523
1000	O 524 528
°C,	O 529 532
potentially	O 533 544
lead	O 545 549
to	O 550 552
disintegration	B-KP 553 567
of	I-KP 568 570
the	I-KP 571 574
fuel	B-KP 575 579
rods,	I-KP 580 585
as	O 586 588
highlighted	O 589 600
during	O 601 607
the	O 608 611
Fukushima	O 612 621
Daiichi	O 622 629
nuclear	O 630 637
accident.	O 638 647

For	O 648 651
this	O 652 656
reason	O 657 663
new	O 664 667
research	O 668 676
activities	O 677 687
have	O 688 692
been	O 693 697
initiated	O 698 707
worldwide	O 708 717
to	O 718 720
develop	B-KP 721 728
accident	B-KP 729 737
tolerant	I-KP 738 746
fuels	I-KP 747 752
(ATF).	B-KP 754 760

Additionally,	O 761 774
ATFs	O 775 779
could	O 780 785
also	O 786 790
provide	O 791 798
further	O 799 806
enhancements	I-KP 807 819
in	I-KP 820 822
corrosion	I-KP 823 832
performance	I-KP 833 844
during	O 845 851
normal	O 852 858
operating	O 859 868
conditions	O 869 879
enabling	O 880 888
the	O 889 892
development	I-KP 893 904
of	I-KP 905 907
fuel	I-KP 908 912
assemblies	I-KP 913 923
for	O 924 927
very	O 928 932
high	O 933 937
burn-up.	O 938 946

