Ferritic	B-KP 0 8
and	I-KP 9 12
martensitic	I-KP 13 24
steels	I-KP 25 31
are	O 32 35
candidate	O 36 45
materials	O 46 55
for	O 56 59
use	O 60 63
in	O 64 66
nuclear	B-KP 67 74
reactors	I-KP 75 83
[1,2].	O 84 90

The	O 91 94
transmutation-created	B-KP 95 116
inert	I-KP 117 122
gas,	I-KP 123 127
especially	O 128 138
He,	B-KP 139 142
plays	O 143 148
an	O 149 151
important	O 152 161
role	O 162 166
in	O 167 169
the	O 170 173
microstructural	B-KP 174 189
evolution	I-KP 190 199
of	I-KP 200 202
these	I-KP 203 208
steels	B-KP 209 215
under	I-KP 216 221
neutron	B-KP 222 229
irradiation.	I-KP 230 242

In	O 243 245
a	O 246 247
previous	O 248 256
paper	O 257 262
[3]	O 263 266
the	O 267 270
mechanisms	B-KP 271 281
by	I-KP 282 284
which	I-KP 285 290
He	B-KP 291 293
in	I-KP 294 296
a	I-KP 297 298
perfect	I-KP 299 306
body-centred-cubic	B-KP 307 325
(bcc)	B-KP 327 332
Fe	I-KP 333 335
lattice,	I-KP 336 344
can	I-KP 345 348
agglomerate	I-KP 349 360
into	I-KP 361 365
bubbles	I-KP 366 373
was	O 374 377
discussed.	O 378 388

It	O 389 391
was	O 392 395
shown	O 396 401
that	O 402 406
small	O 407 412
He	I-KP 413 415
interstitial	I-KP 416 428
clusters	I-KP 429 437
are	O 438 441
highly	O 442 448
mobile	O 449 455
but	O 456 459
become	O 460 466
effectively	O 467 478
pinned	O 479 485
with	O 486 490
the	O 491 494
emission	O 495 503
of	O 504 506
Fe	I-KP 507 509
interstitials	I-KP 510 523
when	O 524 528
the	O 529 532
clusters	O 533 541
contain	O 542 549
5	O 550 551
or	O 552 554
more	O 555 559
He	I-KP 560 562
atoms.	O 563 569

Small	O 570 575
bubbles	I-KP 576 583
up	O 584 586
to	O 587 589
around	O 590 596
1.5	O 597 600
nm	O 601 603
in	O 604 606
diameter	O 607 615
can	O 616 619
easily	O 620 626
form	O 627 631
at	O 632 634
room	O 635 639
temperature	O 640 651
from	O 652 656
such	O 657 661
seed	O 662 666
points	O 667 673
but	O 674 677
larger	O 678 684
bubbles	I-KP 685 692
are	O 693 696
more	O 697 701
difficult	O 702 711
to	O 712 714
form	O 715 719
by	O 720 722
diffusion	I-KP 723 732
alone	O 733 738
due	O 739 742
to	O 743 745
the	O 746 749
induced	I-KP 750 757
strain	I-KP 758 764
in	O 765 767
the	O 768 771
bcc	I-KP 772 775
lattice	I-KP 776 783
which	O 784 789
increases	O 790 799
the	O 800 803
energy	O 804 810
barriers	O 811 819
for	O 820 823
diffusion	I-KP 824 833
towards	O 834 841
the	O 842 845
bubbles	I-KP 846 853
whilst	O 854 860
reducing	O 861 869
them	O 870 874
in	O 875 877
a	O 878 879
direction	O 880 889
away	O 890 894
from	O 895 899
the	O 900 903
bubbles.	O 904 912

Subsequent	O 913 923
bubble	I-KP 924 930
enlargement	I-KP 931 942
can	O 943 946
then	O 947 951
only	O 952 956
occur	O 957 962
either	O 963 969
through	O 970 977
increased	O 978 987
temperature	O 988 999
or	O 1000 1002
by	O 1003 1005
radiation	I-KP 1006 1015
induced	I-KP 1016 1023
mechanisms	I-KP 1024 1034
which	O 1035 1040
increase	O 1041 1049
the	O 1050 1053
number	O 1054 1060
of	O 1061 1063
vacancies	O 1064 1073
in	O 1074 1076
the	O 1077 1080
bubble	I-KP 1081 1087
and	O 1088 1091
reduce	I-KP 1092 1098
the	I-KP 1099 1102
lattice	I-KP 1103 1110
strain.	O 1111 1118

Emission	I-KP 1119 1127
of	I-KP 1128 1130
interracial	I-KP 1131 1142
loops	I-KP 1143 1148
from	O 1149 1153
such	O 1154 1158
a	B-KP 1160 1161
bubble	O 1162 1168
was	O 1169 1172
not	O 1173 1176
observed	O 1177 1185
in	B-KP 1187 1189
molecular	I-KP 1190 1199
dynamics	I-KP 1200 1208
simulations.	O 1209 1221

