SPM,	B-KP 0 4
and	O 5 8
AFM	B-KP 9 12
in	O 13 15
particular,	O 16 27
has	O 28 31
been	O 32 36
widely	O 37 43
applied	O 44 51
to	O 52 54
questions	B-KP 55 64
in	I-KP 65 67
polymer	B-KP 68 75
crystallization.	I-KP 76 92

The	O 93 96
technique	O 97 106
has	O 107 110
several	O 111 118
strengths	O 119 128
that	O 129 133
make	O 134 138
it	O 139 141
ideally	O 142 149
suited	O 150 156
for	O 157 160
such	O 161 165
studies.	O 166 174

It	O 175 177
is	O 178 180
a	O 181 182
high	B-KP 183 187
resolution	I-KP 188 198
technology,	I-KP 199 210
routinely	O 211 220
resolving	B-KP 221 230
sub	I-KP 231 234
10nm	I-KP 235 239
features	I-KP 240 248
[13,14],	O 249 257
and	O 258 261
hence	O 262 267
allowing	O 268 276
the	O 277 280
fundamental	O 281 292
length	O 293 299
scale	O 300 305
of	O 306 308
the	O 309 312
polymer	B-KP 313 320
lamellar	I-KP 321 329
crystal,	I-KP 330 338
its	O 339 342
thickness,	O 343 353
to	O 354 356
be	O 357 359
observed.	O 360 369

AFM	B-KP 370 373
requires	O 374 382
no	O 383 385
staining	B-KP 386 394
or	O 395 397
metal	B-KP 398 403
coating	I-KP 404 411
of	O 412 414
the	O 415 418
sample,	O 419 426
so	O 427 429
sample	B-KP 430 436
preparation	I-KP 437 448
is	O 449 451
relatively	O 452 462
straightforward.	O 463 479

Also,	O 480 485
it	O 486 488
is	O 489 491
non-destructive	O 492 507
under	O 508 513
many	O 514 518
circumstances.	O 519 533

This	O 534 538
allows	O 539 545
images	O 546 552
to	O 553 555
be	O 556 558
obtained	O 559 567
while	O 568 573
a	O 574 575
process	O 576 583
such	O 584 588
as	O 589 591
crystal	B-KP 592 599
growth	I-KP 600 606
or	O 607 609
melting	B-KP 610 617
is	O 618 620
occurring,	O 621 631
giving	O 632 638
time-resolved	B-KP 639 652
data	I-KP 653 657
at	O 658 660
lamellar	O 661 669
or	O 670 672
sub-lamellar	O 673 685
resolution	O 686 696
[15–18].	O 697 705

It	O 706 708
is	O 709 711
this	O 712 716
final	O 717 722
feature	O 723 730
that	O 731 735
provides	O 736 744
many	O 745 749
of	O 750 752
the	O 753 756
most	O 757 761
exciting	O 762 770
possibilities	O 771 784
of	O 785 787
AFM	B-KP 788 791
for	O 792 795
studying	B-KP 796 804
polymer	B-KP 805 812
crystallization,	I-KP 813 829
as	O 830 832
it	O 833 835
is	O 836 838
now	O 839 842
possible	O 843 851
to	O 852 854
watch	O 855 860
crystal	B-KP 861 868
growth,	I-KP 869 876
crystal	B-KP 877 884
melting,	I-KP 885 893
and	O 894 897
re-organisations	B-KP 898 914
within	I-KP 915 921
crystals	B-KP 922 930
at	I-KP 931 933
the	I-KP 934 937
lamellar	I-KP 938 946
scale,	I-KP 947 953
seeing	O 954 960
how	O 961 964
structure	O 965 974
evolves	O 975 982
and	O 983 986
local	O 987 992
conditions	O 993 1003
influence	O 1004 1013
kinetics.	O 1014 1023

AFM	B-KP 1024 1027
has	O 1028 1031
a	O 1032 1033
wide	O 1034 1038
range	O 1039 1044
of	O 1045 1047
different	O 1048 1057
measuring	O 1058 1067
modes,	O 1068 1074
and,	O 1075 1079
with	O 1080 1084
the	O 1085 1088
ever	O 1089 1093
increasing	O 1094 1104
number	O 1105 1111
of	O 1112 1114
functional	O 1115 1125
semicrystalline	B-KP 1126 1141
polymers	I-KP 1142 1150
available	O 1151 1160
(e.g.	O 1161 1166

[19]),	O 1167 1173
the	O 1174 1177
breadth	O 1178 1185
of	O 1186 1188
experiments	O 1189 1200
that	O 1201 1205
can	O 1206 1209
be	O 1210 1212
carried	O 1213 1220
out	O 1221 1224
with	O 1225 1229
a	O 1230 1231
single	O 1232 1238
machine	O 1239 1246
is	O 1247 1249
also	O 1250 1254
one	O 1255 1258
of	O 1259 1261
the	O 1262 1265
techniques	O 1266 1276
attractions.	O 1277 1289

