Note	O 0 4
that	O 5 9
the	O 10 13
quantitative	B-KP 14 26
introduction	I-KP 27 39
of	I-KP 40 42
a	I-KP 43 44
reactive	I-KP 45 53
functionality	I-KP 54 67
into	I-KP 68 72
the	I-KP 73 76
polymer	B-KP 77 84
chain	I-KP 85 90
end	I-KP 91 94
can	O 95 98
be	O 99 101
easily	O 102 108
achieved	O 109 117
by	O 118 120
adopting	O 121 129
the	O 130 133
living	B-KP 134 140
ROMP	I-KP 141 145
technique	I-KP 146 155
especially	O 156 166
using	O 167 172
the	O 173 176
Schrock	B-KP 177 184
type	I-KP 185 189
molybdenum	I-KP 190 200
alkylidene	I-KP 201 211
initiator	I-KP 212 221
[7,12,21,61–65].	O 222 238

The	O 239 242
exclusive	O 243 252
preparation	B-KP 253 264
of	I-KP 265 267
end-functionalized	I-KP 268 286
ring-opened	B-KP 287 298
polymers	I-KP 299 307
(realized	O 308 317
by	O 318 320
a	O 321 322
living	B-KP 323 329
polymerization	I-KP 330 344
with	I-KP 345 349
quantitative	I-KP 350 362
initiation)	I-KP 363 374
can	O 375 378
be	O 379 381
applied	O 382 389
not	O 390 393
only	O 394 398
to	O 399 401
prepare	O 402 409
block	B-KP 410 415
copolymers	I-KP 416 426
(ABCs)	B-KP 428 434
coupled	O 435 442
with	O 443 447
another	O 448 455
living	I-KP 456 462
polymerization	I-KP 463 477
techniques	I-KP 478 488
[66],	O 489 494
but	O 495 498
also	O 499 503
for	O 504 507
preparation	I-KP 508 519
of	I-KP 520 522
macromonomers,	O 523 537
as	O 538 540
described	O 541 550
below.	O 551 557

In	O 558 560
contrast,	O 561 570
the	O 571 574
initiation	O 575 585
efficiency	O 586 596
is	O 597 599
not	O 600 603
always	O 604 610
perfect	O 611 618
as	O 619 621
seen	O 622 626
in	O 627 629
the	O 630 633
molybdenum	I-KP 634 644
alkylidene	I-KP 645 655
initiators,	O 656 667
because	O 668 675
dissociation	I-KP 676 688
of	O 689 691
ligand	I-KP 692 698
(PR3	B-KP 699 703
etc.)	O 704 709
should	O 710 716
be	O 717 719
required	O 720 728
to	O 729 731
generate	I-KP 732 740
the	I-KP 741 744
catalytically	I-KP 745 758
active	I-KP 759 765
species	I-KP 766 773
in	I-KP 774 776
the	I-KP 777 780
ROMP	I-KP 781 785
with	O 786 790
the	O 791 794
ruthenium	I-KP 795 804
carbene	I-KP 805 812
catalysts	I-KP 813 822
(Scheme	O 823 830
2)	O 831 833
[67–69].	O 834 842

An	O 843 845
equilibrium	O 846 857
between	O 858 865
coordination	I-KP 866 878
and	O 879 882
dissociation	I-KP 883 895
of	O 896 898
PR3	I-KP 899 902
should	O 903 909
be	O 910 912
present	O 913 920
even	O 921 925
in	O 926 928
the	O 929 932
propagation	I-KP 933 944
process,	O 945 953
and	O 954 957
replacement	O 958 969
of	O 970 972
halogen	I-KP 973 980
with	O 981 985
the	O 986 989
other	O 990 995
anionic	I-KP 996 1003
ligand	I-KP 1004 1010
(and/or	O 1011 1018
replacement	O 1019 1030
of	O 1031 1033
PR3	I-KP 1034 1037
with	O 1038 1042
the	O 1043 1046
other	O 1047 1052
neutral	I-KP 1053 1060
donor	I-KP 1061 1066
ligands/substrates)	O 1067 1086
can	O 1087 1090
also	O 1091 1095
be	O 1096 1098
considered	O 1099 1109
as	O 1110 1112
the	O 1113 1116
probable	O 1117 1125
side	O 1126 1130
reactions.	O 1131 1141

Importance	O 1142 1152
of	O 1153 1155
using	O 1156 1161
the	O 1162 1165
molybdenum	I-KP 1166 1176
catalysts	I-KP 1177 1186
should	O 1187 1193
be	O 1194 1196
thus	O 1197 1201
emphasized	O 1202 1212
for	O 1213 1216
their	O 1217 1222
precise	O 1223 1230
preparations,	O 1231 1244
although	O 1245 1253
the	O 1254 1257
initiators	O 1258 1268
are	O 1269 1272
highly	O 1273 1279
sensitive	O 1280 1289
to	O 1290 1292
moisture	O 1293 1301
and	O 1302 1305
both	O 1306 1310
monomers	I-KP 1311 1319
and	O 1320 1323
solvent	I-KP 1324 1331
have	O 1332 1336
to	O 1337 1339
be	O 1340 1342
thus	O 1343 1347
strictly	O 1348 1356
purified	O 1357 1365
to	O 1366 1368
avoid	O 1369 1374
the	O 1375 1378
catalyst	I-KP 1379 1387
decomposition	I-KP 1388 1401
(deactivation).	B-KP 1402 1417

