Mice	B-KP 0 4
bearing	I-KP 5 12
the	I-KP 13 16
orthotopic	I-KP 17 27
model	I-KP 28 33
were	O 34 38
treated	O 39 46
starting	O 47 55
from	O 56 60
day	O 61 64
21	O 65 67
after	O 68 73
NB	O 74 76
cell	O 77 81
implant;	O 82 90
mice	B-KP 91 95
with	I-KP 96 100
the	I-KP 101 104
pseudo-metastatic	I-KP 105 122
model	I-KP 123 128
received	O 129 137
the	O 138 141
first	O 142 147
treatment	O 148 157
4h	O 158 160
after	O 161 166
NB	O 167 169
cell	O 170 174
injection.	O 175 185

These	B-KP 186 191
therapeutic	I-KP 192 203
schedules	I-KP 204 213
were	O 214 218
designed	O 219 227
to	O 228 230
test	B-KP 231 235
the	I-KP 236 239
effects	I-KP 240 247
of	O 248 250
our	B-KP 251 254
targeted	I-KP 255 263
formulations	I-KP 264 276
against	O 277 284
both	O 285 289
established	O 290 301
and	O 302 305
pseudo-metastatic	O 306 323
preclinical	B-KP 324 335
models	I-KP 336 342
of	O 343 345
human	O 346 351
NB,	O 352 355
as	O 356 358
described	O 359 368
[16,19].	O 369 377

Animals	B-KP 378 385
were	O 386 390
treated	O 391 398
i.v.	O 399 403

once	O 404 408
a	O 409 410
week	O 411 415
for	O 416 419
3	O 420 421
weeks	O 422 427
with	O 428 432
untargeted	B-KP 433 443
(SL[DXR])	B-KP 445 454
or	O 455 457
peptide-targeted	I-KP 458 474
SL[DXR]	I-KP 475 482
(5mg/kg).	O 483 492

Scrambled	I-KP 493 502
peptide-functionalized	I-KP 503 525
liposomes	I-KP 526 535
were	O 536 540
used	O 541 545
as	O 546 548
a	O 549 550
control,	O 551 559
and	O 560 563
in	O 564 566
every	O 567 572
experiment	O 573 583
a	O 584 585
group	O 586 591
of	O 592 594
control	O 595 602
mice	O 603 607
received	O 608 616
HEPES-buffered	I-KP 617 631
saline.	O 632 639

Survival	I-KP 640 648
times	I-KP 649 654
were	O 655 659
used	O 660 664
as	O 665 667
the	O 668 671
main	O 672 676
criterion	O 677 686
for	O 687 690
determining	I-KP 691 702
treatment	I-KP 703 712
efficacy.	O 713 722

In	O 723 725
the	O 726 729
orthotopic	I-KP 730 740
model,	O 741 747
time-dependent	I-KP 748 762
anti-tumor	I-KP 763 773
activity	I-KP 774 782
was	O 783 786
also	O 787 791
evaluated	O 792 801
by	O 802 804
bioluminescence	O 805 820
imaging	O 821 828
(BLI)	O 829 834
and	O 835 838
X-ray	O 839 844
analyses.	O 845 854

For	O 855 858
this	O 859 863
purpose,	O 864 872
the	I-KP 873 876
GI-LI-N	I-KP 877 884
cell	I-KP 885 889
line	I-KP 890 894
was	O 895 898
infected	I-KP 899 907
with	O 908 912
a	O 913 914
retrovirus	O 915 925
expressing	O 926 936
the	O 937 940
firefly	O 941 948
luciferase	O 949 959
gene,	O 960 965
as	O 966 968
previously	O 969 979
reported	O 980 988
[17];	O 989 994
luciferase	I-KP 995 1005
activity	I-KP 1006 1014
of	O 1015 1017
retrovirally-transduced	I-KP 1018 1041
cells	I-KP 1042 1047
was	O 1048 1051
visualized	I-KP 1052 1062
in	O 1063 1065
vivo	O 1066 1070
by	O 1071 1073
BLI	O 1074 1077
(IVIS	O 1078 1083
Caliper	O 1084 1091
Life	O 1092 1096
Sciences,	O 1097 1106
Hopkinton,	O 1107 1117
MA)	O 1118 1121
after	O 1122 1127
a	O 1128 1129
10min	O 1130 1135
incubation	O 1136 1146
with	O 1147 1151
150μg/mL	O 1152 1160
of	O 1161 1163
d-luciferin	I-KP 1164 1175
(Caliper	O 1176 1184
Life	O 1185 1189
Sciences),	O 1190 1200
as	O 1201 1203
described	O 1204 1213
[17].	O 1214 1219

X-ray	O 1220 1225
analysis	O 1226 1234
was	O 1235 1238
superimposed	O 1239 1251
to	O 1252 1254
the	O 1255 1258
luminescence	O 1259 1271
for	O 1272 1275
a	O 1276 1277
better	O 1278 1284
visualization	O 1285 1298
of	O 1299 1301
the	O 1302 1305
tumors.	O 1306 1313

