Immunopotentiators	B-KP 0 18
activate	B-KP 19 27
innate	I-KP 28 34
immunity	I-KP 35 43
directly	O 44 52
(for	O 53 57
example,	O 58 66
cytokines)	O 67 77
or	O 78 80
through	O 81 88
pattern-recognition	B-KP 89 108
receptors	I-KP 109 118
(PRRs,	B-KP 120 126
such	O 127 131
as	O 132 134
those	O 135 140
for	O 141 144
bacterial	O 145 154
components).	O 155 167

The	O 168 171
Toll-like	I-KP 172 181
receptors	I-KP 182 191
(TLRs)	B-KP 192 198
are	O 199 202
a	O 203 204
family	O 205 211
of	O 212 214
PRRs	I-KP 215 219
that	O 220 224
are	O 225 228
an	O 229 231
important	O 232 241
link	O 242 246
between	O 247 254
innate	O 255 261
and	O 262 265
adaptive	O 266 274
immunity.	O 275 284

Some	O 285 289
studies	O 290 297
have	O 298 302
shown	O 303 308
that	O 309 313
TLR	I-KP 314 317
ligands	I-KP 318 325
have	O 326 330
adjuvant	O 331 339
activity	O 340 348
and	O 349 352
enhance	O 353 360
antigen-specific	O 361 377
antibody	O 378 386
and	O 387 390
cell-mediated	O 391 404
immune	O 405 411
responses,	O 412 422
especially	O 423 433
when	O 434 438
they	O 439 443
are	O 444 447
combined	O 448 456
with	O 457 461
delivery	O 462 470
systems	O 471 478
that	O 479 483
promote	O 484 491
their	O 492 497
uptake	O 498 504
and	O 505 508
delivery	O 509 517
into	O 518 522
antigen-presenting	I-KP 523 541
cells	I-KP 542 547
[22–24].	O 548 556

For	O 557 560
clinical	I-KP 561 569
studies,	O 570 578
TLR9	I-KP 579 583
is	O 584 586
generally	O 587 596
stimulated	I-KP 597 607
with	O 608 612
synthetic	I-KP 613 622
oligodeoxynucleotides	I-KP 623 644
containing	O 645 655
one	O 656 659
or	O 660 662
more	O 663 667
unmethylated	I-KP 668 680
CpG	I-KP 681 684
dinucleotides.	O 685 699

In	O 700 702
humans,	O 703 710
CpG	I-KP 711 714
has	O 715 718
been	O 719 723
used	O 724 728
as	O 729 731
an	O 732 734
adjuvant	I-KP 735 743
for	O 744 747
infectious	I-KP 748 758
disease	I-KP 759 766
vaccination	I-KP 767 778
[25,26]	O 779 786
and	O 787 790
in	O 791 793
the	B-KP 795 798
development	I-KP 799 810
of	I-KP 811 813
cancer	I-KP 814 820
therapy	O 821 828
[27].	O 829 834

In	O 835 837
a	B-KP 838 839
mouse	I-KP 840 845
model,	O 846 852
CpG	O 853 856
has	O 857 860
also	O 861 865
been	O 866 870
shown	O 871 876
to	B-KP 878 880
induce	I-KP 881 887
T	I-KP 888 889
helper	I-KP 890 896
1	O 897 898
(Th1)	O 899 904
immune	O 905 911
responses,	O 912 922
which	O 923 928
are	O 929 932
characterized	O 933 946
by	O 947 949
the	B-KP 951 954
production	I-KP 955 965
of	I-KP 966 968
IFN-γ	I-KP 969 974
and	I-KP 975 978
the	I-KP 979 982
generation	I-KP 983 993
of	I-KP 994 996
IgG2a	O 997 1002
[28,29].	O 1003 1011

Moreover,	O 1012 1021
a	O 1022 1023
previous	O 1024 1032
study	O 1033 1038
had	O 1039 1042
demonstrated	O 1043 1055
that	O 1056 1060
different	O 1061 1070
liposomes	O 1071 1080
with	O 1081 1085
CpG	O 1086 1089
ODN	O 1090 1093
significantly	O 1094 1107
increased	O 1108 1117
Th1-biased	I-KP 1118 1128
cytokines	O 1129 1138
and	B-KP 1139 1142
augmented	I-KP 1143 1152
cell	I-KP 1153 1157
mediated	I-KP 1158 1166
immune	I-KP 1167 1173
response	O 1174 1182
[30].	O 1183 1188

