Observations	B-KP 0 12
show	O 13 17
that	O 18 22
in	O 23 25
the	O 26 29
same	O 30 34
area	O 35 39
with	O 40 44
dimensions	O 45 55
of	O 56 58
a	O 59 60
few	O 61 64
tenths	O 65 71
of	O 72 74
a	O 75 76
parsec	O 77 83
could	O 84 89
be	O 90 92
many	O 93 97
sources,	O 98 106
some	O 107 111
of	O 112 114
which	O 115 120
only	O 121 125
emits	O 126 131
OH	B-KP 132 134
lines,	I-KP 135 141
and	O 142 145
some	O 146 150
–	O 151 152
only	O 153 157
lines	O 158 163
H2O.	B-KP 164 168

The	O 169 172
only	O 173 177
known	O 178 183
in	O 184 186
physics	O 187 194
the	O 195 198
emission	B-KP 199 207
mechanism	I-KP 208 217
that	O 218 222
can	O 223 226
give	O 227 231
tremendous	O 232 242
power	O 243 248
within	O 249 255
a	O 256 257
narrow	O 258 264
range	O 265 270
of	O 271 273
the	O 274 277
spectrum,	O 278 287
is	O 288 290
coherent	O 291 299
(i.e.	O 300 305

the	O 306 309
same	O 310 314
phase	O 315 320
and	O 321 324
direction)	O 325 335
light	B-KP 336 341
lasers,	I-KP 342 349
which	O 350 355
are	O 356 359
called	O 360 366
optical	B-KP 367 374
lasers,	I-KP 375 382
and	O 383 386
radio-masers.	B-KP 387 400

Cosmic	B-KP 401 407
maser	I-KP 408 413
radio	I-KP 414 419
sources	I-KP 420 427
emitting	O 428 436
in	O 437 439
the	O 440 443
lines	O 444 449
of	O 450 452
the	O 453 456
molecules	O 457 466
have	O 467 471
an	O 472 474
extremely	O 475 484
high	O 485 489
brightness	O 490 500
temperature	O 501 512
radiation	O 513 522
Tb.	O 523 526

In	O 527 529
the	O 530 533
molecules	O 534 543
of	O 544 546
methanol	B-KP 547 555
masers	I-KP 556 562
(CH3OH)	B-KP 564 571
Tb	O 572 574
value	O 575 580
can	O 581 584
reach	O 585 590
109	O 591 594
K,	O 595 597
with	O 598 602
masers	I-KP 603 609
hydroxyl	I-KP 610 618
molecules	I-KP 619 628
(OH)	B-KP 629 633
6×1012	O 634 640
K.	O 641 643

The	O 644 647
typical	O 648 655
size	O 656 660
of	O 661 663
the	O 664 667
maser	I-KP 668 673
clusters	I-KP 674 682
is	O 683 685
about	O 686 691
1014–1015	O 692 701
m	O 702 703
and	O 704 707
the	O 708 711
neutron	I-KP 712 719
star	I-KP 720 724
radius	O 725 731
is	O 732 734
of	O 735 737
the	O 738 741
order	O 742 747
of	O 748 750
10	O 751 753
km.	O 754 757

Thus,	O 758 763
the	O 764 767
radiation	I-KP 768 777
dilution	I-KP 778 786
coefficient	I-KP 787 798
is	O 799 801
equaled	O 802 809
approximately	O 810 823
(2.5×10−23)–(2.5×10−21)	O 824 847
and,	O 848 852
therefore,	O 853 863
μB2B2/4(hν)2∼(2.4×10−5)–(2.4×10−7)	O 864 898
for	O 899 902
the	O 903 906
hydrogen	I-KP 907 915
line	I-KP 916 920
21	O 921 923
cm	O 924 926
and	O 927 930
of	O 931 933
the	O 934 937
order	O 938 943
10−5–10−7	O 944 953
for	O 954 957
the	O 958 961
OH	O 962 964
18	O 965 967
cm	O 968 970
line	O 971 975
or	O 976 978
the	O 979 982
same	O 983 987
order	O 988 993
as	O 994 996
Eq.	O 997 1000

(1).	O 1001 1005

