Power	B-KP 0 5
and	I-KP 6 9
particle	I-KP 10 18
exhaust	I-KP 19 26
are	O 27 30
crucial	O 31 38
for	O 39 42
the	O 43 46
viability	O 47 56
of	O 57 59
any	O 60 63
future	O 64 70
fusion	B-KP 71 77
power	I-KP 78 83
plant	I-KP 84 89
concept.	O 90 98

Heat	O 99 103
in	O 104 106
fusion	B-KP 107 113
reactors	I-KP 114 122
must	O 123 127
be	O 128 130
extracted	O 131 140
through	O 141 148
a	O 149 150
wall	O 151 155
and	O 156 159
cannot	O 160 166
be	O 167 169
exhausted	O 170 179
volumetrically,	O 180 195
which	O 196 201
limits	O 202 208
the	O 209 212
allowed	O 213 220
power	O 221 226
density	O 227 234
in	O 235 237
fusion	B-KP 238 244
reactors	I-KP 245 253
[1]	O 254 257
and	O 258 261
is	O 262 264
a	O 265 266
severe	B-KP 267 273
technical	I-KP 274 283
challenge	I-KP 284 293
in	O 294 296
itself	O 297 303
[2].	O 304 308

In	O 309 311
addition,	O 312 321
structural	B-KP 322 332
material	I-KP 333 341
changes	I-KP 342 349
resulting	O 350 359
from	O 360 364
neutron	B-KP 365 372
irradiation	I-KP 373 384
cause	O 385 390
degradation	O 391 402
in	O 403 405
the	O 406 409
heat	O 410 414
exhaust	O 415 422
capabilities	O 423 435
of	O 436 438
existing	O 439 447
designs	O 448 455
[3]	O 456 459
and	O 460 463
static	B-KP 464 470
surfaces	I-KP 471 479
can	O 480 483
suffer	O 484 490
severely	O 491 499
from	O 500 504
erosion	O 505 512
due	O 513 516
to	O 517 519
impinging	B-KP 520 529
plasma	I-KP 530 536
particles	I-KP 537 546
[4,5].	O 547 553

It	O 554 556
is	O 557 559
concluded	O 560 569
that	O 570 574
conventional	O 575 587
concepts	O 588 596
and	O 597 600
materials	O 601 610
for	O 611 614
plasma	B-KP 615 621
facing	I-KP 622 628
components	I-KP 629 639
(PFCs)	B-KP 641 647
reach	O 648 653
their	O 654 659
limits	O 660 666
in	O 667 669
terms	O 670 675
of	O 676 678
material	O 679 687
lifetime	O 688 696
and	O 697 700
power	O 701 706
exhaust	O 707 714
at	O 715 717
approximately	O 718 731
20MW/m2,	O 732 740
which	O 741 746
is	O 747 749
presumably	O 750 760
dramatically	O 761 773
reduced	O 774 781
to	O 782 784
<10MW/m2	O 785 793
due	O 794 797
to	O 798 800
neutron	I-KP 801 808
damage	I-KP 809 815
in	O 816 818
a	B-KP 820 821
D-T	I-KP 822 825
reactor	O 826 833
[6]	O 834 837
or	O 838 840
even	O 841 845
only	O 846 850
half	O 851 855
that	O 856 860
value	O 861 866
[7].	O 867 871

